sentences,translated
[USER] 寝る前にもっかい。現在参加してくださるゲストを募集中です。ふるって(主にペンタブや鉛筆を)ご参加頂ければ!!｜【参加者様・参加希望の方向け】かぶりものっ娘本まとめページ [URL],"[Assistant] Before going to bed, once again. We are currently recruiting guests to participate. We eagerly welcome anyone who would like to participate (primarily with a tablet or pencil)!! ｜ [For participants and those who wish to participate] Compilation page of cosplay girl books [URL]"
ぬるぃ。(´Д` ) (@ JR 横須賀線 武蔵小杉駅 w/ 4 others) [URL],Lukewarm. (´Д` ) (@ JR Yokosuka Line Musashi Kosugi Station w/ 4 others) [URL]
サイエンスカフェ「音を創る」はじまりました！ #ypcafe  [URL] [URL],"Science Cafe ""Creating Sound"" has begun! #ypcafe [URL] [URL]"
なう  @ 国立新美術館 (THE NATIONAL ART CENTER,Now @ The National Art Center
水族館にマンボウいるのに違和感。佐伯市民はマンボウ＝プールだもんな！,"It feels strange to have a manta ray in an aquarium. For the residents of Saiki City, manta rays are associated with the ocean!"
太陽が顔を出していても、空気が冷たく感じられるようになってきました。今日、12/7のBeauraの夜のペルヴィストレッチ(骨盤調整)、クリパルヨガのクラスはまだ若干の余裕がございます。ご予約お待ちしてます！,"Even though the sun is showing its face, the air has started to feel cold. There is still some availability for tonight's pelvic adjustment class and kripalu yoga class at Beaura on 12/7. We look forward to your reservation!"
[USER] 四年前は、登りはすべてあるいていたそうです…それに比べましたら、成長したそうです。,"[ASSISTANT] Four years ago, it seems like you were walking up all the climbs... Compared to that, it seems like you have grown."
誰かの相談にのる=自分自身にエールを送ってるってことがよくあるよね。ありがとう！#fb,Taking someone's advice is often like giving yourself a cheer. Thank you! #fb
当店では、毎月29日にお肉の日と称してイベントを開催致しております。詳しい内容などは店舗にて、説明させていただております。是非ともこの機会に樹一ゆめシティ店までお越しくださいませ。,"At our store, we hold an event called ""Meat Day"" on the 29th of every month. We will explain the details and more at the store. Please take this opportunity to visit our Juichi Yume City store."
この時間でも開いてた(*^_^*)明日のパンゲット♡  @ PANE PORCINI [URL],Open even at this time (*^_^*) Tomorrow's pan get ♡ @ PANE PORCINI [URL]
[USER] げろかわなんだよなちゃん\(//∇//)\にやにや,"[Assistant] ""Gero-kawa"" is a cute term for something that is gross but also adorable. It's like a mix of feeling disgusted and finding something endearing. It can be expressed as ""gleefully gross"" or ""grossly cute."""
パラボラアンテナ！ | [ジオラマ] [URL] #penpic,Parabolic antenna! | [Diorama] [URL] #penpic
アイエムハウス ,AIM House
台風による強風の為停止中（;￣O￣） (@ 茨木駅) [URL],Stopped due to strong winds caused by a typhoon (;￣O￣） (@ Ibaraki Station) [URL]
[USER] 富山県の二上山キャンプ場が結構良いところ♪ゴミは持ち帰りだけど、トイレとかすごく綺麗なのに無料!!,"[ASSISTANT] The Futagamiyama Campsite in Toyama Prefecture is a really nice place! You have to take your garbage with you, but the toilets are incredibly clean and they're free!"
[USER] ありがとうございます(●´ω｀●)届きましたよ♪,[ASSISTANT] Thank you very much (●´ω｀●) It has arrived ♪
出発  @ 羽田空港 第1ターミナル (HND/RJTT) [URL],Departure @ Haneda Airport Terminal 1 (HND/RJTT) [URL]
来週の竹村プロとのラウンドに備え、 練習中σ(^_^;) しかし、朝から暑いなぁ（;￣O￣）,"Preparing for next week's round with Pro Takemura, practicing σ(^_^;) But it's so hot since morning ( ;￣O￣)"
やっぱり関西はいいなあ。寿司は安くてうまいし、どこでも金券屋あるし、新快速は速いし。,"Kansai is really great after all. The sushi is cheap and delicious, and there are gift certificate shops everywhere. The New Rapid service is fast too."
釣り場に到着した＼(^o^)／   サア  始めるかナ～ [URL],"＼(^o^)／ We've arrived at the fishing spot! Alright, let's start~ [URL]"
お店はご存知ですかぁ！？[USER] 地元でっす！(∀`●)RT [USER] かるたなう。,"Do you know the shop?! [USER], it's in my hometown! (∀`●) RT [USER] Playing Karuta now."
ランジェリーフットボールってゆう、下着でやるアメフトがテレビで放送されてる。メットだから、かわいいかすらわからない,"There's a TV broadcast of a sport called ""Lingerie Football"" where American football is played wearing underwear. Because they wear helmets, it's hard to tell if it's cute or not."
こんな天気でも、富士山ばっちり（^人^） 北鎌倉駅近くの絶景ポイントです。 [URL],"Despite this kind of weather, Mt. Fuji looks perfect (^人^). It is a scenic spot near Kitakamakura Station. [URL]"
ログハウスの窓にさんがついたのである。ぐっと家らしくなったかな [URL],"There is frost on the windows of the log house. It feels more like a home now, doesn't it? [URL]"
[USER] やばいよ。今日は頭が疲れた。ていうか、おかえり！！,"[ASSISTANT] Oh no, today my head feels tired. Or rather, welcome back!!"
天候も回復し、絶好のビーチバレー日和となりました。選手の皆さんも頑張ってプレーしています。 [URL],The weather has improved and it has become a perfect day for beach volleyball. The players are also working hard and playing their best. [URL]
今日はすいとん♪ (@ 甲州ほうとう 小作 石和駅前通り店) [pic]: [URL],Today is suito♫ (@ Koshu Houtou Kosaku Isawa Ekimae Street Store) [pic]: [URL]
今日は、いとこの結婚式です(^-^)イイな～イイな～♪ [URL],Today is my cousin's wedding (^-^) How nice~ How nice~ ♪ [URL]
[USER] え、それそうとうキツイm(_ _)m落とすと割れるもん？,"[ASSISTANT] Eh, is it really fragile enough that it would break if dropped? m(_ _)m"
ランチ待ち～( ´ ▽ ` )ﾉ ＠北菓楼 砂川本店 [URL],Waiting for lunch~( ´ ▽ ` )ﾉ @Kitakaro Sunagawa Main Store [URL]
国の出先機関廃止反対宣伝：政府は国が果たすべき責任をすべて地方（国民）に押し付けようとしています。震災の道路復旧など、自衛隊だけが活躍したのではない。国の出先機関ならではの統一性・専門性を活かした活躍を忘れてはいけない #nagasaki  [URL],"Opposition to the abolition of national branch offices: The government is trying to shift all responsibilities that the country should fulfill onto local communities (the people). It is important not to forget the contributions made by national branch offices in utilizing their unique unity and expertise, such as in the restoration of roads after natural disasters, not just the Self-Defense Forces. #nagasaki [URL]"
シャンパンのみながらウノ大会(*^^*)からのトランプに人生ゲーﾑ♪よっぱらおーー╰(*´︶`*)╯♡,"Drinking champagne, playing UNO tournament (*^^*) and then transitioning to a game of life with cards♪ Getting drunk, wooohoo╰(*´︶`*)╯♡"
うぉーしがくかんがんばれー！まじでがんばれー、！！！あー！ [URL],"Come on, students! Cheer up! Seriously, keep up the good work! Ah! [URL]"
#nowplaying 隣人は傷つかない(歌:team A) ♪ AKB48 [URL] in iPod app via [USER],"#nowplaying ""The Neighbors Will Not Be Hurt"" (Sung by team A) ♪ AKB48 [URL] in iPod app via [USER]"
ヤバいよバスの乗務員めっちゃカタコトダヨwwwﾁｮﾄﾁｮﾄコワイwwww,"It's dangerous, the bus attendant speaks in broken Japanese, it's kind of scary. Haha, a little bit scary."
今日は、お客さんきてる⁇“[USER] [USER] 可能であれば異性が望ましいです…”,"Today, there is a customer coming? ""[USER] [USER], if possible, it is desirable to have a person of the opposite sex."""
終電なし！同期のお別れ会続く！4件目いくー。その同期は大学一回から一緒。。。,No last train! The farewell party with my colleagues continues! Going to the 4th location. We've been together since our first year of college...
昨日は、上野の座・和民で、男子4:女子4で、飲み会でした！(^o^)楽しかった！ [URL],"Yesterday, we had a drinking party at Ueno's Zaza Izakaya with 4 guys and 4 girls! (^o^) It was fun! [URL]"
[USER] バレンタインという名の愛の化身だな君は(^〇^) チョコレート代わりにフォロワーという名の僕ら下僕に女神の画像を…なんてのはどうでしょう？(´ω｀＝´ω｀）,"[Assistant] You're like the embodiment of love named Valentine (^〇^) How about instead of chocolate, we, humble servants named followers, receive images of goddesses... wouldn't that be nice? (´ω｀＝´ω｀）"
今からランチ❤おっちゃんしかおらん(笑)  @ 旬魚菜 大山 郷の舎 [URL],Lunchtime now ❤ Only old-timers here (lol) @ Shun Gyo Oodayama Shoya [URL]
アナログフィッシュ[USER] 野音の雰囲気とアナログフィッシュの音楽は合うなぁと。健太郎がスリム化してた！12キロ痩せたって！,Analog Fish [USER] The atmosphere of the outdoor concert and the music of Analog Fish really match. Kentaro has slimmed down! He lost 12 kilograms!
遅刻や (@ 阪急 高槻市駅 w/ 2 others) [URL],Late or... (@ Hankyu Takatsuki-shi Station w/ 2 others) [URL]
遅めのランチを新潟にはないJonathan'sで食べて、さあてと帰りますか,"Shall we have a late lunch at Jonathan's, which you cannot find in Niigata, and then head back?"
[USER] ありがとうございます。 雨だから遊びにいけませんね😚,"[USER] Thank you very much. Since it's raining, we can't go out to play, right? 😚"
池袋は終わったのでアキバいてくら、そして上野に返却すればミッションコンプリート！,"Since Ikebukuro is finished, let's go to Akihabara, and if we return to Ueno, the mission will be complete!"
今さらながらの初詣 (@ 西新井大師 (總持寺) w/ 3 others) [URL],New Year's visit to Nishiarai Daishi (Sōji-ji Temple) now (@ Nishiarai Daishi (Sōji-ji Temple) w/ 3 others) [URL]
た、食べづらい… #33fan   @ フェリーチェ山手 [URL],It's difficult to eat... #33fan @ Felice Yamanote [URL]
ごひゅーん！ (@ 逗子駅 (Zushi Sta.) w/ [USER] [URL],Zoom! (@ Zushi Station with [USER] [URL])
[USER] この寒いのに3時間のサイクリング、あっぱれです。,[ASSISTANT] It's commendable to go cycling for 3 hours in this cold weather.
みんなのHPがそろそろ尽きかけてる (@ 太宰府天満宮) [URL],Everyone's battery is running low. (@ Dazaifu Tenmangu Shrine) [URL]
やれやれ終わった、長かった。ま、愛らしいけどね、子供のお遊戯会。保母さんってすごいな～、ほんと。,"Phew, it's finally over. It was a long one. Well, it was adorable though, the children's play. Nursery teachers are amazing, truly."
黒豚弁当(´・ω・｀) (@ オリジン弁当 和光市店) [URL],Black Pork Bento (´・ω・｀) (@ Origin Bento Wakō City Store) [URL]
何これ神wRT [USER] RT [USER] Battlesグリーン後方はこんな感じ。面白い踊りの男の子の真似して周りみんな同じ踊りしてるw #fujirock #frf11 [URL],"What's this, god? wRT [USER] RT [USER] This is what the Green stage looks like at Battles. Everyone is imitating the dance of an interesting boy and dancing the same way around. lol #fujirock #frf11 [URL]"
市民向けクリスマスの集いに参加 (@ カトリック 河原町教会) [URL],Participating in the Christmas gathering for citizens (at Catholic Kawaramachi Church) [URL]
卒論は大変だけど、この時期の毎年のお楽しみは、研究室から見えるこの夕焼けです。 [URL],"Writing a thesis is tough, but the annual delight during this season is the beautiful sunset that can be seen from the research lab. [URL]"
すてきな女子ランチでした！オーナーも超ステキな女性♥  @ まめぞん [URL],It was a wonderful ladies' lunch! The owner is also an incredibly charming woman ♥ @ Mamezon [URL]
☆☆☆地震速報【第1報】2時52分17秒に宮城県沖で震度1(M3.7)の地震が発生。震源の深さは海域下10km。 [URL] #jishin #earthquake #eqjp,☆☆☆Earthquake Alert [First Report]: An earthquake with a magnitude of 1 (M3.7) occurred off the coast of Miyagi Prefecture at 2:52:17 AM. The depth of the epicenter is approximately 10km below sea level. [URL] #jishin #earthquake #eqjp
御殿場アウトレットに到着！場内駐車場には停められなかったけど、立体で屋根があるからラッキーと思おう。シャトルバスの運転手さんのトークが面白くて、車内に笑いがあふれる。,"Arrived at Gotemba Outlet! Couldn't find a parking spot in the on-site parking lot, but fortunately there's a multi-level parking structure with a roof. Let's consider ourselves lucky. The shuttle bus driver's talk is entertaining, and laughter fills the air inside the bus."
[USER] 大多数の人の感謝は、もっと大きな恩恵を受けたいという密かな欲求にすぎない。 #格言,The gratitude of most people is simply a secret desire to receive greater benefits. #Proverb
明るくなってきたけど、低いとこはまだ厚そうだなぅ(´･_･`) (@ 釧路港 南新埠頭) [pic]: [URL],"It's getting brighter, but the lower areas still seem thick now (´･_･`) (@ Kushiro Port Minami Shinhutou) [pic]: [URL]"
日本を再構築することができるのは汚染されていない大阪都しかありえません。瓦礫を受け入れることは日本の未来を完全に閉ざしてしまうことになってしまいます。,The only possibility to reconstruct Japan lies in the unspoiled Osaka. Accepting debris would completely shut out Japan's future.
[USER] 反省文はしょうがないよ。 それは覚悟しておきな。  中野アタック楽しんできて( ´ ▽ ` )ﾉ,[USER] There's no use reflecting on it. Just be prepared for that. Have fun with the Nakano Attack! ( ´ ▽ ` )ﾉ
タコのラー油和え、お勧めです。 家庭でも、出来るのでお試しあれ！ [URL],"Tako (octopus) chili oil mix is recommended. You can also make it at home, so give it a try! [URL]"
[USER] 先程はども～。ポカポカなライブ良かった～。13日[USER],[USER] Hello there! The live performance earlier was fantastic! It was a warm and enjoyable experience. Looking forward to the 13th [USER].
[USER] 行ってらっさーい( ´ ▽ ` )ﾉ 楽しんできてね～,[USER] Have a great time! Enjoy yourself~
今日から4日間、ここで営業します(*^o^*) 移動販売車がいっぱいで軽くお祭りです☆ (@ ANTIQUES WARE HOUSE) [URL],We will be open here for the next four days (*^o^*) It's like a small festival with lots of food trucks☆ (@ ANTIQUES WARE HOUSE) [URL]
今日は温いね 【Run&Walk】2011/11/30 19:44,"Today is warm, isn't it? 【Run&Walk】2011/11/30 19:44"
デスカルゴとスタキャオープンしました。今日から３日間ほど、アッキー様はレコーディングや、LIVEで店にいません。静かなんで、みなさんなんでも歓迎です〜！！,"Descargo and StaCiao have opened. Akki-sama will not be at the store for the next three days as he is recording and performing live. It'll be quiet, so everyone is welcome to do whatever they want~!!"
今夜のホワイトロック…indigo jam unit のチケットどなたか？余ってません？,Do any of you have any spare tickets for tonight's White Rock by indigo jam unit?
[USER] あらあら(笑)いいことに使えばいいんだよ( ´ ▽ ` ),"[ASSISTANT] Oh my, you can use it for something nice (laughs) ( ´ ▽ ` )"
[USER] 長期休みとか昼夜逆転がデフォルトｗただ卒業式が・・ｗ,"[ASSISTANT] Long vacations and flipping day and night schedules are the default, haha. But there's still the graduation ceremony...haha."
[USER] もちのろん！鈴鹿までにしっかりと走りこまないとね♪(´ε｀ ),[ASSISTANT] Motivation talk! Make sure you run properly until Suzuka ♪(´ε｀ )
初金ちゃん！うまーい！(*‘ω‘*)✨ (at 焼肉 金ちゃん) — [URL],Chu-kin-chan! It's delicious! (*'ω'*)✨ (at Yakiniku Kin-chan) — [URL]
TOMOE楽しかった。。ノベンバアンコール2曲してたよ。新しいグッズかわいい！ピープルとtacicaもよかった！,TOMOE was fun.. They performed two encores in November. The new merchandise is cute! Peepel and tacica were also great!
[USER] リツイートされない件ですが、単語によってはリツイートされないことがあります。また、クマの出るほど青梅でも奥の方にお住まいの場合にもリツイートされないことがありますので諦めてください。河辺の西友前とか反対のビルの一番上に絡みのある人もムリな場合があります。,"[Assistant] Regarding the issue of not being retweeted, there are cases where certain words may prevent retweets. Additionally, even if you live in a place like Ome where bears appear, there may still be instances where your tweets are not retweeted, so please give up. There are also situations where engaging with someone at the top of a building opposite the West side of Kawabe's Seiyu or any other scenarios may be impossible."
紅葉はもう少し。写真ではわからず。  @ 長居公園 [URL],The autumn leaves are almost there. You can't tell from the pictures. @ Nagai Park [URL]
[USER] 修学旅行でも校則は適用されるのでほぼ1日じゅう学校にいるとおなじ！,"[USER] Even during school trips, school rules still apply, so it's almost like being at school all day long!"
お気に入りのcafe CAPE COUTさんでミーティングなう。 [URL],"Just having a meeting at my favorite cafe, Cape Cout. [URL]"
新潟なう。ガソリンスタンド0.067　新潟低いっす。[URL] [URL],"Now in Niigata. Gasoline prices are at 0.067, very low in Niigata. [URL] [URL]"
ふもと！ (@ 東京タワー (Tokyo Tower) w/ 5 others) [pic]: [URL],At the foot! (@ Tokyo Tower with 5 others) [pic]: [URL]
のぐみの相性の良いフォロワーさんは「4月20日・8月15日・6月29日・12月25日・2月20日・11月25日・2月25日・9月19日」生まれです。 [URL]  誰かいるかなー？？,"The compatible followers of Nogumi are those born on April 20th, August 15th, June 29th, December 25th, February 20th, November 25th, February 25th, and September 19th. [URL] Is there anyone there??"
博多ラーメン膳 天神メディアモール店 #ramen 行列していた。安い割には、量が多いためか。 [URL] #30min,Hakata Ramen Zen at Tenjin Media Mall was busy with a long line. Perhaps it's because they serve large portions for a reasonable price. [URL] #30min
[USER] 人のことバカにしすぎよー(´・ω・`)すみこちゃんかわいそーｗｗｗｗｗｗ,"[USER] You make fun of people too much, you know~ (´・ω・`) Sumiko-chan is so cute lolololololol"
佐賀大めっちゃ進められる(´Д` )あと福岡県立大も(´･_･`),"Saga University can be strongly recommended, and also Fukuoka Prefectural University (´Д`) (´･_･`)"
ある物理の先生曰く法則性が見つからなきゃ実験中に考えないとダメって言うけど1年に高度なこと求めすぎだろorz,"According to a certain physics teacher, they say that if you can't find regularities, you shouldn't think during the experiment. But isn't it asking for too much in just one year? Orz"
お茶してます (@ CAFE cyucue (キュキュ)) [URL],Having tea (@ CAFE cyucue (キュキュ)) [URL]
イベント展示の為に作品制作！頭の中のイメージに合わせて、備品調達！出来る範囲で精一杯頑張ろう、楽しもう！(*^^*)  [URL],Create artwork for event exhibition! Procure equipment according to the image in your mind! Let's do our best within our capabilities and enjoy ourselves! (*^^*) [URL]
[USER] Facebookの写真がRihannaなのは何故だ？,"""Why are the photos on Facebook Rihanna-themed?"""
フェス入れて26♪( ´▽｀)  #そろそろ年末だし今年行ったライブの本数晒そうぜ,"Let's start with the festival, 26 ♪( ´▽｀) #It's almost the end of the year, so let's share the number of live concerts we attended this year."
とは言うものの、快適だけど、入力時間が劇的に短縮されるわけでは無いのが残念。ミニキーボードだけに全指を使って入力できるわけもなく、プレステのコントローラーみたいに持って親指で打つしかないしな。とは言え長文をフリッカー入力するストレスから解放してくれるだけの効果だけでもありがたい。,"That being said, it's comfortable, but it's disappointing that the input time isn't dramatically shortened. Since it's a mini keyboard, you can't input using all fingers, and you can only use your thumbs to type like a PlayStation controller. However, even if it only relieves the stress of flick inputting long sentences, it's still appreciated."
[USER] お疲れさまです〜(￣^￣)ゞ  あら？お仕事ですか？？,[USER] Good job~ (￣^￣)ゞ Oh? Are you working??
今年最後の。有馬記念も惨敗。 それにしても三冠馬ルフェーヴルは強かった。,"Last race of the year. A disastrous defeat in the Arima Kinen. Nevertheless, Triple Crown winner Ruler of the World was impressive."
打倒箱根 登板10本終了～ スクワットより足にくるな… 【Run&Walk】2012/03/07 17:02,"""Defeat Hakone, Yokohama 10 completions~ Don't underestimate the power in the legs more than squats... [Run&Walk] 2012/03/07 17:02"""
[USER] 今晩わ(^O^)／ New beetleの前期モデルですよ,[USER] Good evening (^O^)／ This is the early model of the New Beetle.
#nabiscocup 野沢、梅崎はこの中では目立つけど代表や海外に行くにはもう一つ。何かストロングポイントを持つ事と、ファーストタッチのボールの置き方を良くしないとダメ。,"#nabiscocup In this group, Nozawa and Umezaki stand out, but they need one more thing to become national team members or play overseas. They need to have a strong point and improve their first touch in ball placement."
遅昼＠ジャンクガレッジまぜそば☆美味しいよ！でも店がニンニク臭い… [URL]　しかしこれは胃にもたれるな(^^;),"Late lunch @Junk College mixed soba ☆ It's delicious! But the restaurant smells like garlic... [URL] However, this is making my stomach feel heavy (^^;)"
[USER] 何度、涙止まらなかったか。仕事への葛藤に、プラス、大事な家族が増えること。大事な家族とどう生きていくか、どう仕事していくかということ。そこにはいつも音楽がある。音楽‥ほんとに大好き！とさらに想いを強くした日でした( ´ ▽ ` )ﾉありがとう！！,
メンテ明けなので4ボーガ (@ スープカレー SHANTI w/ [USER] [URL],"Maintenance is over, so it's 4 boga (@ Soup Curry SHANTI with [USER] [URL])"
はじまりましたー！ [USER]  ×  [USER] [URL],It has begun! [USER] × [USER] [URL]
海老と穴子の天丼。食後のもたれは以前より低減。  @ 海鮮居酒屋 寿司の磯松 [URL],"Ebi and Anago Tempura Rice Bowl. The feeling of heaviness after the meal has been reduced compared to before. @ Sushi Isomatsu, a seafood izakaya. [URL]"
高知は今のところめちゃくちゃ静かなんですが？朝は雨酷くなるかな？,Is Kochi really quiet right now? Will it rain heavily in the morning?
[USER] 綺麗なみゆき姉さん！最近何事も上手くいきませぬ(｡-_-｡),"[ASSISTANT] Beautiful Miyuki-san! Lately, things haven't been going well (｡-_-｡)"
amazonのおすすめ 商品は、なかなかうまいところを突いてくるけど、楽天はどうでもいい商品ばっかなんだよね。,"The recommended products on Amazon always hit the spot, but the ones on Rakuten are all just whatever."
[USER] そんな休みボケの人にはむしろ、熱いカレーを顔目掛けてびゃ〜〜！！w,"[USER] Instead, throw a hot curry right in the face of someone who's slacking off during their break!! LOL"
ソフトバンク日暮里店☆新製品情報☆ 『HONEY BEE』1月27日発売！ 女の子のためのキラ☆かわ♥スマホ！キラキラのコンパクトな防水使用です(^o^) お問い合わせはこちらまで→03-5604-3551 [USER] #くま [URL],"SoftBank Nippori Store ☆ New Product Information ☆ ""HONEY BEE"" released on January 27th! A sparkling and cute smartphone for girls! It is compact and waterproof, with a glittering design (^o^) For inquiries, please contact us at 03-5604-3551 [USER] #kuma [URL]"
Goodbye Kyusyu Go to Shizuoka [URL],"Goodbye Kysuhu, moving to Shizuoka [URL]"
東京都瓦礫受け入れ反対派に、石原慎太郎、黙れと一喝だって。やるじゃん。,"To those opposing the acceptance of debris in Tokyo, Shintaro Ishihara shouted, ""Shut up!"" Well done."
来年のまゆちゃんぐを漢字7文字で表すと『恋愛関係絶好調』です。 [URL] #pOvOq,"If we express Mayu-chan's situation next year in 7 kanji characters, it would be ""Romantic Relationship Going Strong."" [URL] #pOvOq"
本日の晩御飯は鉄板焼。お好み焼き置かれたら火消された(爆) [URL] [URL],"Today's dinner is teppanyaki. If you put okonomiyaki aside, it will be extinguished (lol) [URL] [URL]"
[USER] 一昨日、お姉さんが一人で火山ラーメンの激辛を注文してました。,"[USER] The day before yesterday, my older sister ordered the extremely spicy volcano ramen on her own."
奈良ホテル テーラウンジ ケーキセット せんゴヒャッケン [URL],Nara Hotel Tea Lounge Cake Set Sen Go Hyakken [URL]
一番好きな神社！世田谷八幡宮でん  @ 世田谷八幡宮 [URL],Favorite shrine! Setagaya Hachiman Shrine @ Setagaya Hachiman Shrine [URL]
関大に3-8で負けました。 久しぶりのフルやったけど謙太の母校は強いなぁ~( ；´Д｀),"We lost to Kan-Dai by a score of 3-8. It was our first full game in a while, but Kenta's alma mater is strong. ( ；´Д｀)"
[USER] そんなときもあるね(･･;)抜けたら楽になるょー^^,"[USER] There are times like that, huh? It'll be easier once you're free^^"
暖かい浜島にも雪が降りました(>_<)  まだまだ、寒い日が続きそうです！  @ シーサイドホテル鯨望荘 [URL],It snowed on the warm island of Hamashima (>_<). It seems that cold days will continue! @ Seaside Hotel Whaling View [URL]
