なんと。「イグジット・スルー・ザ・ギフトショップ」が今日からセンチュリーシネマで公開とな。「ツリーオブライフ」も「スーパー！」も後回しだ。とにかくまずはこれを観なきゃ。#BANKSY_car [URL],,,,,,
[USER] じかに、ロックシティで、見ると、すごいな。あんまき。 [URL],,,,,,
がむしゃらを知ってて当然みたいに書いてますけど、いまここ。 34.645315,135.815599 [URL] 奈良県大和郡山市上三橋町１５２,,,,,
不滅のシンボル 鳳凰と獅子  父上ありがとうございます (@ サントリー美術館 (Suntory Museum of Art)) [URL],,,,,,
[USER] どこも行ってない！お店に10時半くらいまでいてそのあと外で１時間喋ってた！あのあとどっか行ったー？,,,,,,
捕まってよかった!!  脱走の男確保 逃走容疑で逮捕  #yjfc_hiroshima_prison,,,,,,
[USER] お肌つやつや…感動した！肌弱いから心配してたんだけどすごくいいコンディショナーとか使ったから平気だったし！,,,,,,
[USER] 厚揚げ焼き、ｷｬﾍﾞﾂｻﾗﾀﾞ、ﾁｮﾘｿｰ、ﾋﾟｰﾏﾝと玉ねぎをﾁﾝして塩ｺｼｮｳしたやつ、ｺﾛｯｹ…みたいな感じｰ(o´▽｀o),,,,,,
大好きだったラーメン屋さん。いっぽ亭。懐かしの『あごだしらーめん』を食事中。 宮城県仙台市青葉区柏木２丁目,,,,,,
神様からdadagouに突然メールが来た。　本文：「今からちょっと天界デートしない？」 [URL]   聖おにいさんですか(￣∇￣*)ゞ,,,,,,
ランチ復活します！．．． 月、火、水、だけですが．．(￣Д￣； [Lunch Time] 11:30~14:00  ☆やみつきインドカレーランチ☆  (インドカレー＋サラダ) ¥650  ★[ ￥200]でコーヒーをセットにできます！ その他オプションもあります！,,,,,,
無印良品でＫ部長と遭遇！焦った(ﾟДﾟ;)孫をベビーカーに乗せてニコニコでした(´ｰ｀),,,,,,
[USER] お疲れぽよ～ねえねえもしビニールに入って濡れてるラビT とパンツがあったらそれ俺のだから取っておいて♪,,,,,,
仕事終了。列車待ち二時間。 観光するには時間が足りないし、 さて、何しようかと長崎駅でボーッと佇む。,,,,,,
[USER] メッシュ＼(^o^)／私もそろそろ根元から明るくしたい！でも金がない！（笑）,,,,,,
帰宅なう。会社出るときフル充電だったのに飲み会終わる頃に電池切れなんてヒドすぎる…,,,,,,
ALINCO フット・バブ ライト MCR4000... [URL],,,,,,
[USER] 寝る前にもっかい。現在参加してくださるゲストを募集中です。ふるって(主にペンタブや鉛筆を)ご参加頂ければ!!｜【参加者様・参加希望の方向け】かぶりものっ娘本まとめページ [URL],,,,,,
ぬるぃ。(´Д` ) (@ JR 横須賀線 武蔵小杉駅 w/ 4 others) [URL],,,,,,
サイエンスカフェ「音を創る」はじまりました！ #ypcafe  [URL] [URL],,,,,,
唇カッサカサ！切れまくりの皮むけまくり！痛いけど、ついいじって悪化し続けてる！,,,,,,
娘がいないことを良いことに、夫婦でドライブ。山梨まで来てしまった。 【山梨県北杜市】 [URL],,,,,,
なう  @ 国立新美術館 (THE NATIONAL ART CENTER, TOKYO) [URL],,,,,
もし本当にその犯罪自慢を裁きたいなら、明確な証拠を突き止めて公表しないと、その人物のたかが知れるぜ。 ちなみに俺は今家のPCでツイートしている。IPアドレスとかGPSで探索できるのかは知らないが、そこまでしてこそ犯罪者ってものは取り締まるべきじゃないか？,,,,,,
[USER] 間違えたぁ(−_−＃)  ゴメン ゴメン(｡-_-｡),,,,,,
マジないわ〜チャリでこけてしもうたわ、シラフで。ありえんけーこの始末。右乳首の下をウリィ～って感じですりむいたけ。,,,,,,
違うで笑Twitter最近始めたから友達なって(⌒▽⌒)ちゅうけんのとも,,,,,,
水族館にマンボウいるのに違和感。佐伯市民はマンボウ＝プールだもんな！,,,,,,
明日は午前午後とフットサル(o^^o) 足の爪ヤバイー＼(^o^)／,,,,,,
Recentry I'm many many many eating. (−_−)やバス…,,,,,,
[USER] COSMOのお兄さんみたいやった俺？？漬け物頑張ります！ちなみに今日お渡ししたのは48時間漬け込みしてあります！,,,,,,
旭川マルカツのタリーズなう。アイスアメリカーノを注文。ほのかに感じる甘みと苦味。みずみずしくて美味しい。 [URL],,,,,,
経産相辞任。仕方ないけど、置かれた立場を勘違いするような人材を選ぶな。政治家は政治家なりのコンプライアンスを認識してほしい。,,,,,,
そろそろ寝ぐらを見つけたい…正直箱根のダメージが深刻なんでホテルでもあればいいんだが…,,,,,,
太陽が顔を出していても、空気が冷たく感じられるようになってきました。今日、12/7のBeauraの夜のペルヴィストレッチ(骨盤調整)、クリパルヨガのクラスはまだ若干の余裕がございます。ご予約お待ちしてます！,,,,,,
[USER] 四年前は、登りはすべてあるいていたそうです…それに比べましたら、成長したそうです。,,,,,,
生きてます。まる二本買ったんですけど、優香さんの家にたどり着きませんでした。昨日はご迷惑をおかけしました。“[USER] 【急募】古庄の安否【納会お疲れ様でした】”,,,,,,
メールウザ(ｰｰ;)     さっきドラクエ買ってきたら子供に取られた(T . T)私用に買ったのに(ｰｰ;),,,,,,
七尾市は寒いな～(;´д｀)取り敢えず今日は仕事がおわったら金沢市まで移動。,,,,,,
白子海岸に出たら、向かい風だった-_-b銚子まで50キロ向かい風か〜 セブンでつぶあんパンなう,,,,,,
誰かの相談にのる=自分自身にエールを送ってるってことがよくあるよね。ありがとう！#fb,,,,,,
docomoのSIM使えて、UQの(MVNOの)WiMAX契約できるスマホがあれば売れるよねえ。少なくとも俺は買うなあ。,,,,,,
インコ聖人ヘッド飾りました！！ #魅惑のコトリ展  [URL],,,,,,
当店では、毎月29日にお肉の日と称してイベントを開催致しております。詳しい内容などは店舗にて、説明させていただております。是非ともこの機会に樹一ゆめシティ店までお越しくださいませ。,,,,,,
この時間でも開いてた(*^_^*)明日のパンゲット♡  @ PANE PORCINI [URL],,,,,,
[USER] 逆チョコじゃない＼(^o^)／もらえんかったら寂しいから＼(^o^)／笑,,,,,,
[USER] それはそうとうだぞ笑 かなり豪華やな～ あたしも三月一人旅いかねば！ かえってきたらご飯しよ,,,,,,
テント張り終わったなう！今朝５時から起きてるから                       眠い(-.-)Zzz・・・・,,,,,,
本ツアー一番の綱渡り……改めて被災地を実感……というか…単にJRの運行が少ないだけという話も(-_-;) [URL],,,,,,
デザートのレアクリームケーキも頂いちゃいますよ(*´∀｀) [URL],,,,,,
[USER] げろかわなんだよなちゃん\(//∇//)\にやにや,,,,,,
mimikarinnの値段は、『10000000000000000000000000000円』です。 [URL]  やった、勝った！w,,,,,,
パラボラアンテナ！ | [ジオラマ] [URL] #penpic,,,,,,
アイエムハウス ,46000, 2K , 京成津田沼 , [URL] [URL],,
中野駅についったー！バスで渋谷からきたの初めてかもだ。バス楽しい。 (@ 中野駅 (Nakano Sta.) w/ 9 others) [URL],,,,,,
台風による強風の為停止中（;￣O￣） (@ 茨木駅) [URL],,,,,,
[USER] 富山県の二上山キャンプ場が結構良いところ♪ゴミは持ち帰りだけど、トイレとかすごく綺麗なのに無料!!,,,,,,
[USER] ありがとうございます(●´ω｀●)届きましたよ♪,,,,,,
今日は朝から戸田市民体育祭、つまり町内対抗運動会。親子競争で末っ子おんぶして走って、集団縄跳びでは24回飛んで、風船リレーでは2位に入ったのが午前。昼はカレーを食った。午後の部は戸田音頭が今始まったところだ。 [URL],,,,,,
出発  @ 羽田空港 第1ターミナル (HND/RJTT) [URL],,,,,,
心地好い忙しさが舞い込んできてる♪ やっぱ暇よりは忙しいのが好きな貧乏性な私┐(´∀｀)┌ﾔﾚﾔﾚ,,,,,,
来週の竹村プロとのラウンドに備え、 練習中σ(^_^;) しかし、朝から暑いなぁ（;￣O￣）,,,,,,
やっぱり関西はいいなあ。寿司は安くてうまいし、どこでも金券屋あるし、新快速は速いし。,,,,,,
[USER] 横浜負けちゃいましたねぇ（泣）まさか逆転されるとわ…残念。でもお疲れ様でした(^-^)/,,,,,,
螺旋階段読む。だんなさんはクルージーの生まれかわりかも。と、展示をみたときもおもった。すごくよかった。,,,,,,
"ありがとうです。街に似合うカスタムは若い人にお任せして…(^◇^;)""[USER] [USER] 街の四駆感がなくなって好きだなぁo(^▽^)o""",,,,,,
[USER] 鎌倉最近妹も行き義父母も行き、鎌倉土産いっぱいだったよ(⌒▽⌒)鎌倉よかったー？？  私も行きたいーー！！  けどあまりいく機会がない^_^,,,,,,
釣り場に到着した＼(^o^)／   サア  始めるかナ～ [URL],,,,,,
お店はご存知ですかぁ！？[USER] 地元でっす！(∀`●)RT [USER] かるたなう。,,,,,,
ランジェリーフットボールってゆう、下着でやるアメフトがテレビで放送されてる。メットだから、かわいいかすらわからない,,,,,,
おはようー！ 昨日湯沢からもどり久しぶり奥戸に戻ったー！ ところで情熱大陸フェス札幌公演行きたいんですが 東京から行く人います？ 交通費等抑えたいですが、東京発の情熱大陸ツアーなど募集してないでしょうか？,,,,,,
こんな天気でも、富士山ばっちり（^人^） 北鎌倉駅近くの絶景ポイントです。 [URL],,,,,,
ログハウスの窓にさんがついたのである。ぐっと家らしくなったかな [URL],,,,,,
今、横浜ベイブリッジ渡ってたんだけど、嵐みたいだこれ。 (@ 横浜ベイブリッジ (Yokohama Bay Bridge)) [URL],,,,,,
せっかくなのでビックカメラなう。1DⅢを使い続けるためにはやはりレンズです。,,,,,,
[USER] やばいよ。今日は頭が疲れた。ていうか、おかえり！！,,,,,,
運転免許センターに来ました。日曜だから、めちゃくちゃ混んでいる!!!!!!ディズニーランド並の行列…( ノД`)…がんばる,,,,,,
厚木からJR相模線で橋本に向かい、京王線で新宿に戻ることにした。ロマンスカーを下ろされた人達が沢山路頭に迷っている。,,,,,,
[USER] いいコピーだ。「[USER] 今日も同じ空の下にいますよ。」,,,,,,
天候も回復し、絶好のビーチバレー日和となりました。選手の皆さんも頑張ってプレーしています。 [URL],,,,,,
[USER] 懐かしいー♪ 盛るねー♡また海いきたいねー(p*･ω･)p,,,,,,
[USER] まずポケモンつかまえねば、、。てか、末永も参加させよう。奴も一端の虫取り少年だ,,,,,,
お揃い！（笑）大丈夫ですかぁ？ “[USER] 額が切れた！血が出てる！痛い！”,,,,,,
美容院終了～！今回は『「榮倉奈々」と「韓流スター」の中間な感ぢで』とお願いしたんだZE(●´ω｀●),,,,,,
今日はすいとん♪ (@ 甲州ほうとう 小作 石和駅前通り店) [pic]: [URL],,,,,,
出費が加速するかも…。(((；ﾟДﾟ))RT [USER] 銀行通帳にSEV貼ったら残高増えるかな？,,,,,,
今日は、いとこの結婚式です(^-^)イイな～イイな～♪ [URL],,,,,,
[USER] え、それそうとうキツイm(_ _)m落とすと割れるもん？,,,,,,
とりあえずランチ、 と思ったけど遅刻メンツ待ち⊂((・x・))⊃ [URL],,,,,,
ランチ待ち～( ´ ▽ ` )ﾉ ＠北菓楼 砂川本店 [URL],,,,,,
国の出先機関廃止反対宣伝：政府は国が果たすべき責任をすべて地方（国民）に押し付けようとしています。震災の道路復旧など、自衛隊だけが活躍したのではない。国の出先機関ならではの統一性・専門性を活かした活躍を忘れてはいけない #nagasaki  [URL],,,,,,
何だかなぁ〜。映画館メチャ並んでるし。知り合い居たら笑えるな。,,,,,,
シャンパンのみながらウノ大会(*^^*)からのトランプに人生ゲーﾑ♪よっぱらおーー╰(*´︶`*)╯♡,,,,,,
うぉーしがくかんがんばれー！まじでがんばれー、！！！あー！ [URL],,,,,,
[USER] でも『ダルさんヨガる』っていったらリプされずにすみますよ笑,,,,,,
#nowplaying 隣人は傷つかない(歌:team A) ♪ AKB48 [URL] in iPod app via [USER],,,,,,
仕事終了(^_^)今日は予定無しだから、スケジュール考えなくちゃ！,,,,,,
miwaファンの方フォローし返すのでフォローお願いします＼(^o^)／,,,,,,
ヤバいよバスの乗務員めっちゃカタコトダヨwwwﾁｮﾄﾁｮﾄコワイwwww,,,,,,
冷蔵庫があいたまましまらん夢みた  朝食なうです＼(^o^)／,,,,,,
[USER] 何なんですか明日もき○村病で眠いんだから早く寝なさい,,,,,,
今日は、お客さんきてる⁇“[USER] [USER] 可能であれば異性が望ましいです…”,,,,,,
終電なし！同期のお別れ会続く！4件目いくー。その同期は大学一回から一緒。。。,,,,,,
USJなう。絶叫からっきしな自分は、ジュラシックパークで初っぱなからノックアウト…orz  #USJ,,,,,,
これおすすめです。早く効く。このまえコストコでまとめ買いした(笑) [URL],,,,,,
昨日は、上野の座・和民で、男子4:女子4で、飲み会でした！(^o^)楽しかった！ [URL],,,,,,
たまってた、マンガ買う！ (@ 有隣堂 アトレ新浦安店) [URL],,,,,,
[USER] バレンタインという名の愛の化身だな君は(^〇^) チョコレート代わりにフォロワーという名の僕ら下僕に女神の画像を…なんてのはどうでしょう？(´ω｀＝´ω｀）,,,,,,
相変わらず料理のセンスがない母… 出された雑煮の汁がお湯みたい(--;) 文句をいったらむっとされた!! コイツが姑じゃなくてよかったわ!!,,,,,,
今からランチ❤おっちゃんしかおらん(笑)  @ 旬魚菜 大山 郷の舎 [URL],,,,,,
旭川空港着いたけど外は小雨。本当は美瑛に直行するつもりだったけどどうせ自転車にも乗れそうないし、いっそ旭川市街でも行こうかしら。,,,,,,
アナログフィッシュ[USER] 野音の雰囲気とアナログフィッシュの音楽は合うなぁと。健太郎がスリム化してた！12キロ痩せたって！,,,,,,
[USER] おはよー(^^)/今日はおもに寺巡って祇園だねー(^^)v,,,,,,
遅刻や (@ 阪急 高槻市駅 w/ 2 others) [URL],,,,,,
トロサーモン炙り丼を食した (@ 若狭屋 秋葉原店) [pic]: [URL],,,,,,
[USER] 私もです～(^O^)!!無事に家へと帰れるように頑張りましょうｗ,,,,,,
遅めのランチを新潟にはないJonathan'sで食べて、さあてと帰りますか,,,,,,
[USER] ありがとうございます。 雨だから遊びにいけませんね😚,,,,,,
藤丸にいるよ！  なんか3時から売る物に並んでる(⌒▽⌒)  とっても長い列だよ～ん [URL],,,,,,
やっとお昼ご飯！回転寿司島武さんです。いわしめちゃくちゃ旨いよ！買って帰るよ。 [URL],,,,,,
池袋は終わったのでアキバいてくら、そして上野に返却すればミッションコンプリート！,,,,,,
ちなみに俺が買ったのは、無法地帯オオサカが舞台のアジアンパンクwww15禁だよwww,,,,,,
今さらながらの初詣 (@ 西新井大師 (總持寺) w/ 3 others) [URL],,,,,,
[USER] [USER] 出過ぎあぶなーい！(^^)吹いて良かったですね！,,,,,,
完全に寝るタイミングを逃してしまった！7時起きなのに…なでしこ頑張って‼,,,,,,
た、食べづらい… #33fan   @ フェリーチェ山手 [URL],,,,,,
[USER] すてきやぁん♡♡参考にさせてもらぉ！おかんはピンとこんくて(^^;;,,,,,,
[USER] [USER] 実は幼稚園行ってない！だから幼稚園の資格は無いんだよ(ノД`) まぁそんな実習生ならそんなに高いレベル求められるかなぁ？何をやるかは子どもの様子や先生が今何を子どもに身につけて欲しいのかでやること変わると思うなぁ 担任とそゆとこは相談だ！,,,,,,
ごひゅーん！ (@ 逗子駅 (Zushi Sta.) w/ [USER] [URL],,,,,,
[USER] この寒いのに3時間のサイクリング、あっぱれです。,,,,,,
みんなのHPがそろそろ尽きかけてる (@ 太宰府天満宮) [URL],,,,,,
やれやれ終わった、長かった。ま、愛らしいけどね、子供のお遊戯会。保母さんってすごいな～、ほんと。,,,,,,
[USER] そうでっか？僕もよくきますよ あとは、モッズかな！,,,,,,
[USER] そういえばKeyのクジ始まったのいいことに店の在庫全部買い占めてきたw,,,,,,
夕方のスーパーってほんとうんざり(涙)荷物もないのに順番待ちする人もとかおるーー(;_;) [URL],,,,,,
黒豚弁当(´・ω・｀) (@ オリジン弁当 和光市店) [URL],,,,,,
何これ神wRT [USER] RT [USER] Battlesグリーン後方はこんな感じ。面白い踊りの男の子の真似して周りみんな同じ踊りしてるw #fujirock #frf11 [URL],,,,,,
市民向けクリスマスの集いに参加 (@ カトリック 河原町教会) [URL],,,,,,
卒論は大変だけど、この時期の毎年のお楽しみは、研究室から見えるこの夕焼けです。 [URL],,,,,,
すてきな女子ランチでした！オーナーも超ステキな女性♥  @ まめぞん [URL],,,,,,
☆☆☆地震速報【第1報】2時52分17秒に宮城県沖で震度1(M3.7)の地震が発生。震源の深さは海域下10km。 [URL] #jishin #earthquake #eqjp,,,,,,
道を聞かれるシリーズ「ここひとつき通りですかね？」赤坂はわかりません,,,,,,
[USER] おー分かってくれたんだーうんうん、応援するエリックです。(^-^)/,,,,,,
鏡越しに必死なコパンダさん(^人^)いったい誰なんだろう？ちてられてワケわからずテンション上がるわぁ(^^) [URL],,,,,,
奥州市役所で義援金ニ次配分申請完了。一部損壊で二万円貰えることになりましたヽ(；▽；)ノありがたいことです。,,,,,,
昨日、今日と丸の内で研修。こんなキレイなオフィスで働きたいものすなぁ。,,,,,,
御殿場アウトレットに到着！場内駐車場には停められなかったけど、立体で屋根があるからラッキーと思おう。シャトルバスの運転手さんのトークが面白くて、車内に笑いがあふれる。,,,,,,
[USER] 仕事ある日もありますなぁ〜。まぁ休みなんてもんは、ないですよぉ〜。毎日脳は仕事でフル回転さっ。今年はやると決めたからね〜(^-^),,,,,,
[USER] 大多数の人の感謝は、もっと大きな恩恵を受けたいという密かな欲求にすぎない。 #格言,,,,,,
明るくなってきたけど、低いとこはまだ厚そうだなぅ(´･_･`) (@ 釧路港 南新埠頭) [pic]: [URL],,,,,,
AKASHでキーマカレー&ナンお代り自由&アイスチャイなう。 体調良くないので、スパイスたっぷりの10倍カレーでショック療法。 汗、吹き出る吹き出る。,,,,,,
なかなか140字で言いたいことを表現することは難しい。笑わせるとなるともっと難しい。しかし練習することでうまくなりそう。 俳句をよんでみても面白そう。,,,,,,
ついにauからもiPhone販売開始。料金体系どうなるんだろう？,,,,,,
洋服までかりてしまいありがとうございました!ぺーさんちの居心地のよさやばい♥さてこれからしょーちゃんと洋服選びしてくるぜ＼(^o^)／,,,,,,
日本を再構築することができるのは汚染されていない大阪都しかありえません。瓦礫を受け入れることは日本の未来を完全に閉ざしてしまうことになってしまいます。,,,,,,
[USER] 反省文はしょうがないよ。 それは覚悟しておきな。  中野アタック楽しんできて( ´ ▽ ` )ﾉ,,,,,,
生形くんが俺の履いてる靴が五百円で欲しいと言ったから、替りの色違いの靴をこれから買いにいく。まだあればいいけど。エンジ色と水色の。  貝くんは走ってますか？？？ 十一月にハーフマラソンやで,,,,,,
今、名古屋会議後の飲み終って帰宅。最近の名古屋会議日は部下からのトラブル報告や悩ましい相談のオンパレードで。去年は震災だったし、もう行きたくないぞ！明日も出勤風呂入らず寝る,,,,,,
タコのラー油和え、お勧めです。 家庭でも、出来るのでお試しあれ！ [URL],,,,,,
Deltaのskyroungeでマッタリ プリプリのボーカル夫妻と隣席できまずいのでソファをさりげなく移動 オイラに気をつかわすなよ あと一時間後に成田を立ちます 日系のシートの悪さに別れを デルタの先頭席から 行って来ます,,,,,,
[USER] 先程はども～。ポカポカなライブ良かった～。13日[USER],,,,,,
長距離バスを待ちぼうけ＠横浜。大人なんだから１万数千円くらいけちけちせずに新横浜へ移動して新幹線に乗ってしまおうか。,,,,,,
皇居。ここにやんごとなき御方が…。ちょっと挨拶してきます。 [URL],,,,,,
小山駅で４６分待ちとか嫌になる。あと一本でも早い電車に乗れば良かったと後悔…　…間に合わないと思って改札の外にいたら１０分くらい遅れて発車していったんだよね。乗れたじゃんｗ　＠小山市城山町,,,,,,
最高気温35度。琵琶湖まで一人ランニング。やばかったですf^_^;),,,,,,
[USER] 行ってらっさーい( ´ ▽ ` )ﾉ 楽しんできてね～,,,,,,
京王線、、なつかしい！若い子がたくさん乗ってる★むかしを思い出す(^-^),,,,,,
今日から4日間、ここで営業します(*^o^*) 移動販売車がいっぱいで軽くお祭りです☆ (@ ANTIQUES WARE HOUSE) [URL],,,,,,
今日は温いね 【Run&Walk】2011/11/30 19:44, 9.02km, Time 102:44, 273kcal, [web][URL] #RunWalk,,
ツイッターはじめました！プロフ設定の仕方が分からない～( ；´Д｀),,,,,,
デスカルゴとスタキャオープンしました。今日から３日間ほど、アッキー様はレコーディングや、LIVEで店にいません。静かなんで、みなさんなんでも歓迎です〜！！,,,,,,
[USER] [USER] 俺はかけないし、モデルにイラストかけるの近くにいないもんでケモ書く人バンバンフォローしちまうんす（笑）,,,,,,
今夜のホワイトロック…indigo jam unit のチケットどなたか？余ってません？,,,,,,
何年ぶりに入るかしら。 久々知人皆無！あたしもワンマン！わくわく。,,,,,,
良い天気！絶好のツーリング日和ですね～♪ 富士山一周してみたい！今日は行けませんでしたがもう少し涼しくなったら行こうかな～(^^; でもその前にチェーンの錆びとりしなければ…(￣▽￣;) メンドクサ～なんだけど、取り敢えずバイク屋かなぁ～ [URL],,,,,,
[USER] あらあら(笑)いいことに使えばいいんだよ( ´ ▽ ` ),,,,,,
[USER] 長期休みとか昼夜逆転がデフォルトｗただ卒業式が・・ｗ,,,,,,
[USER] もちのろん！鈴鹿までにしっかりと走りこまないとね♪(´ε｀ ),,,,,,
初金ちゃん！うまーい！(*‘ω‘*)✨ (at 焼肉 金ちゃん) — [URL],,,,,,
TOMOE楽しかった。。ノベンバアンコール2曲してたよ。新しいグッズかわいい！ピープルとtacicaもよかった！,,,,,,
[USER] リツイートされない件ですが、単語によってはリツイートされないことがあります。また、クマの出るほど青梅でも奥の方にお住まいの場合にもリツイートされないことがありますので諦めてください。河辺の西友前とか反対のビルの一番上に絡みのある人もムリな場合があります。,,,,,,
紅葉はもう少し。写真ではわからず。  @ 長居公園 [URL],,,,,,
[USER] I read romantic...what!?,,,,,,
[USER] うっ…  もしや俺、レアキャラ    w  たまに皆さんの覗いてたんですが釣られました^^;  野菜が値上がりしてるんで、我が家 今夜は 宮城県産のサンマですd(^_^o),,,,,,
[USER] 修学旅行でも校則は適用されるのでほぼ1日じゅう学校にいるとおなじ！,,,,,,
ジムへ行って、久々に測定したら体脂肪率5％だいになっていた。ん～ラーメン食べよ！,,,,,,
14年ぶりの那覇o(^▽^)o 乗継便の遅れで待ちぼうけ……… [URL],,,,,,
[USER] 宜しくお願いします。 今広島からぶっ飛ばして向かってます。トラブル無ければ時間迄には間に合う予定です。 福山ナンバーの黒のランクルです。宜しくです。,,,,,,
短期決戦に1番必要なのはチームの一体感、いい雰囲気、そう思うのは、「六月の勝利の歌を忘れない」を観てから。マジでオススメ！何十回観たやろ～,,,,,,
今日は那覇市内をwalking!!あいにくの曇り空(>_<)。 異国文化溢れる沖縄の街並み。歩くだけでも何故か楽しい。今度は観光で来よう(^-^)/ [URL] [URL] [URL],,,,,,
お気に入りのcafe CAPE COUTさんでミーティングなう。 [URL],,,,,,
瓦礫の撤去してたら出てきた。だれかが使っていたお茶碗。小っちゃい子が使うバックも土の中から出てきた。流された車、えぐられた小学校。もっと早く来るべきだった。 [URL],,,,,,
着いたで着いたで(*^^*) (@ 札幌市民ホール) [URL],,,,,,
新潟なう。ガソリンスタンド0.067　新潟低いっす。[URL] [URL],,,,,,
これ、観なきゃ。RT [USER] NHK BSプレミアム 18:00 アインシュタインの眼「ワイングラス～魅惑のカタチの物語～」 [URL] #nhkbsp,,,,,,
ふもと！ (@ 東京タワー (Tokyo Tower) w/ 5 others) [pic]: [URL],,,,,,
試験落ちたぁヽ(￣д￣;)ノ=3=3=3やっぱりうかんねぇーよあんなの！,,,,,,
のぐみの相性の良いフォロワーさんは「4月20日・8月15日・6月29日・12月25日・2月20日・11月25日・2月25日・9月19日」生まれです。 [URL]  誰かいるかなー？？,,,,,,
この垢から3ヶ月ぶりにつぶやいてみる。東待機列よりww #c80  [URL],,,,,,
