sentences,translated
ヤバス！スマホのアプリをDLしたは良いけど、使いこなせてねぇ！！twitrerも使用方法分かりましぇん泣,"Yabasu! I downloaded a smartphone app, but I can't use it properly! I don't understand how to use Twitter either, and it's frustrating."
御在所ロープウェイなう。前回お休みだったので今日はリベンジ。  [URL],"I am currently at the Mount Zao Ropeway. Since I missed out last time, today is my chance for revenge. [URL]"
昨日はモーニング娘。の福岡コンサート行ってきました＼(^o^)／めっちゃ盛り上がった！やっぱ娘。は歌もダンスも上手い！その中で圧倒されたのは鞘師ちゃん。恋愛ハンターの鞘師ちゃんカッコ良かったです＼(^o^)／,"I went to Morning Musume's concert in Fukuoka yesterday! It was so exciting! As expected, the girls are great at singing and dancing! Among them, Sayashi-chan really impressed me. She was cool as the love hunter!"
みつって所に入ってから町の過疎っぷりがやばいwもう村だわこれ…それにしてもローソンが凄く綺麗に見えるのは俺だけかw,"Ever since I moved to this town, it's been seriously depopulated. It's practically a village now... But I can't help but notice how incredibly beautiful Lawson looks. Am I the only one who feels that way?"
美味しき鶏肉が食べたくてドライブがてら買いにきちゃった。ここのはとっても美味しい！さて、渋滞に引っ掛からないようにどこを通って帰ろうかな？来る時は混まなかったから帰りもそうだったらいいのにな。 [URL],"I wanted to eat delicious chicken, so I decided to go for a drive and buy some. The chicken here is really tasty! Now, I wonder which route to take back home to avoid traffic congestion. It would be great if the return trip is as smooth as the way here, without any traffic jams. [URL]"
イーストンズの舞台面白がったです。 千秋楽の日にはまだ若干席が空いているそうなのでお時間のある方はぜひ！[URL],"I enjoyed Easton's stage performance. It seems that there are still a few seats available for the final day, so if you have free time, please go ahead and check it out! [URL]"
明日は今年初のゴルフ！練習もしてないのに大丈夫かなぁ(^_^;),"Tomorrow is my first golf game of the year! I haven't even practiced, I wonder if I'll be okay...(^_^;)"
やっぱり盲腸でした。。(>_<) お騒がせしております。 親指さんは元気ですのでまたぶろぐの方も_φ(._.カキカキします！ おやすみなさい(｡-_-｡),"It was indeed appendicitis... I apologize for causing a disturbance. I'm happy to report that my thumb is fine, so I will continue to update my blog soon. Goodnight."
試食チョコ食べすぎて吐き気が...( ´△`) 猪野さん野々花ゆきのちゃんおつかれさま [URL],"I ate too much sampled chocolate and feel nauseous...( ´△`) Ino-san, Nonohana Yukino-chan, good job [URL]"
[USER] 返信ありがとうございます(^^)仙台まで行ってきます。行きは高速バスで、帰りは電車の予定です！仙台始めてなのでわくわく！,[Assistant] Thank you for your reply! (^^) I'll be going to Sendai. I'll take a highway bus on the way there and plan to take the train back! I'm excited because it's my first time in Sendai!
[USER] ってか、ろっきゅうおにぎりはどこにあるのかしら(笑),"[USER] By the way, I wonder where can I find rock kyuu onigiri (laughs)"
なんと。「イグジット・スルー・ザ・ギフトショップ」が今日からセンチュリーシネマで公開とな。「ツリーオブライフ」も「スーパー！」も後回しだ。とにかくまずはこれを観なきゃ。#BANKSY_car [URL],"Wow. ""Exit Through the Gift Shop"" is now being released at Century Cinema starting today. ""Tree of Life"" and ""Super!"" can wait. I have to watch this first. #BANKSY_car [URL]"
[USER] どこも行ってない！お店に10時半くらいまでいてそのあと外で１時間喋ってた！あのあとどっか行ったー？,"[USER] I haven't gone anywhere! I stayed at the store until around 10:30, and then talked outside for an hour! After that, did we go somewhere?"
[USER] お肌つやつや…感動した！肌弱いから心配してたんだけどすごくいいコンディショナーとか使ったから平気だったし！,"[USER] Your skin is glowing...I'm impressed! I was worried because I have sensitive skin, but since I used a really good conditioner, I was fine!"
大好きだったラーメン屋さん。いっぽ亭。懐かしの『あごだしらーめん』を食事中。 宮城県仙台市青葉区柏木２丁目,"The ramen restaurant that I loved so much. Ippotei. I'm currently enjoying their nostalgic ""Agodashi Ramen"". 2 Chome Kashiwa, Aoba-ku, Sendai City, Miyagi Prefecture."
仕事終了。列車待ち二時間。 観光するには時間が足りないし、 さて、何しようかと長崎駅でボーッと佇む。,"Work finished. Two hours of waiting for the train. I don't have enough time for sightseeing, so now, I stand idly at Nagasaki Station wondering what to do."
[USER] メッシュ＼(^o^)／私もそろそろ根元から明るくしたい！でも金がない！（笑）,[USER] Mesh ＼(^o^)／ I also want to lighten my hair from the roots soon! But I don't have any money! (laughs)
帰宅なう。会社出るときフル充電だったのに飲み会終わる頃に電池切れなんてヒドすぎる…,"I'm heading home now. I left the office with a full charge, but it's really frustrating that my battery died around the end of the drinking party..."
唇カッサカサ！切れまくりの皮むけまくり！痛いけど、ついいじって悪化し続けてる！,"Chapped lips! Constantly peeling and cracking! It's painful, but I can't help but keep picking at it and making it worse!"
娘がいないことを良いことに、夫婦でドライブ。山梨まで来てしまった。 【山梨県北杜市】 [URL],"Taking advantage of our daughter's absence, my spouse and I went on a drive. We ended up coming all the way to Yamanashi. [Hokuto City, Yamanashi Prefecture] [URL]"
もし本当にその犯罪自慢を裁きたいなら、明確な証拠を突き止めて公表しないと、その人物のたかが知れるぜ。 ちなみに俺は今家のPCでツイートしている。IPアドレスとかGPSで探索できるのかは知らないが、そこまでしてこそ犯罪者ってものは取り締まるべきじゃないか？,"If you really want to judge that person boasting about the crime, you need to find clear evidence and make it public, otherwise their true nature will remain uncertain. By the way, I'm currently tweeting from my home PC. I don't know if it's possible to track someone through their IP address or GPS, but should criminals who go to such lengths not be apprehended?"
[USER] 間違えたぁ(−_−＃)  ゴメン ゴメン(｡-_-｡),"[Assistant] I made a mistake, I'm sorry, I'm sorry. (｡-_-｡)"
マジないわ〜チャリでこけてしもうたわ、シラフで。ありえんけーこの始末。右乳首の下をウリィ～って感じですりむいたけ。,"I seriously can't believe it. I fell off my bicycle sober. It's unbelievable, man. I scraped the area right below my right nipple, and it stings like crazy."
違うで笑Twitter最近始めたから友達なって(⌒▽⌒)ちゅうけんのとも," ""Because I recently started using Twitter, I made friends on there (⌒▽⌒) That's one of the advantages."""
明日は午前午後とフットサル(o^^o) 足の爪ヤバイー＼(^o^)／,"Tomorrow, I have futsal in the morning and afternoon. My toenails are in trouble! ＼(^o^)／"
Recentry I'm many many many eating. (−_−)やバス…,"Recently, I have been eating a lot, like so much. (−_−) A lot of food..."
[USER] COSMOのお兄さんみたいやった俺？？漬け物頑張ります！ちなみに今日お渡ししたのは48時間漬け込みしてあります！,"[USER] Did I look like COSMO's big brother? I'll do my best with pickling! By the way, what I handed over today has been pickled for 48 hours!"
旭川マルカツのタリーズなう。アイスアメリカーノを注文。ほのかに感じる甘みと苦味。みずみずしくて美味しい。 [URL],At Asahikawa Marukatsu's Tully's Coffee right now. I ordered an iced Americano. It has a subtle sweetness and bitterness. It's refreshing and delicious. [URL]
経産相辞任。仕方ないけど、置かれた立場を勘違いするような人材を選ぶな。政治家は政治家なりのコンプライアンスを認識してほしい。,"Resignation of the Minister of Economy, Trade and Industry. It can't be helped, but they shouldn't choose personnel who misunderstand their position. I want politicians to recognize their own compliance as politicians."
そろそろ寝ぐらを見つけたい…正直箱根のダメージが深刻なんでホテルでもあればいいんだが…,"I want to find a place to stay soon... To be honest, the damage from Hakone is quite severe, so it would be great to have a hotel or something..."
生きてます。まる二本買ったんですけど、優香さんの家にたどり着きませんでした。昨日はご迷惑をおかけしました。“[USER] 【急募】古庄の安否【納会お疲れ様でした】”,"I'm alive. I bought two whole ones, but I couldn't find Yuuka's house. I apologize for the trouble yesterday. ""[USER] Urgent: Confirmation of Furusho's safety [Thank you for the year-end party]"""
メールウザ(ｰｰ;)     さっきドラクエ買ってきたら子供に取られた(T . T)私用に買ったのに(ｰｰ;),Email Sufferer (ｰｰ;) I just bought Dragon Quest earlier and my child took it (T . T) I bought it for personal use (ｰｰ;)
七尾市は寒いな～(;´д｀)取り敢えず今日は仕事がおわったら金沢市まで移動。,"Nanao city is so cold~ (;´д｀) Anyway, after work today, I will travel to Kanazawa city."
白子海岸に出たら、向かい風だった-_-b銚子まで50キロ向かい風か〜 セブンでつぶあんパンなう,"When I arrived at Shirako Beach, there was a headwind -_-b It's a headwind all the way to Choshi, about 50 kilometers away. Currently enjoying an azuki bean bun from Seven-Eleven."
docomoのSIM使えて、UQの(MVNOの)WiMAX契約できるスマホがあれば売れるよねえ。少なくとも俺は買うなあ。,"If there were smartphones that could use docomo SIM cards and be compatible with UQ's (MVNO's) WiMAX contract, they would definitely sell well, wouldn't they? At least I would buy one."
インコ聖人ヘッド飾りました！！ #魅惑のコトリ展  [URL],I decorated the parrot saint headpiece!! #EnchantingKotoriExhibition [URL]
[USER] 逆チョコじゃない＼(^o^)／もらえんかったら寂しいから＼(^o^)／笑,"[USER] It's not reverse chocolate, can you give me some ＼(^o^)／ If I don't receive any, I'll be sad ＼(^o^)／lol"
[USER] それはそうとうだぞ笑 かなり豪華やな～ あたしも三月一人旅いかねば！ かえってきたらご飯しよ,"[USER] That's quite something, haha. It's really luxurious, huh~ I also need to go on a solo trip in March! Let's grab a meal when I come back."
テント張り終わったなう！今朝５時から起きてるから                       眠い(-.-)Zzz・・・・,"I just finished setting up the tent now! I've been awake since 5 AM this morning, so I'm sleepy (-.-) Zzz..."
本ツアー一番の綱渡り……改めて被災地を実感……というか…単にJRの運行が少ないだけという話も(-_-;) [URL],"""The most challenging part of this tour... Once again, I truly felt the impact of the disaster-stricken area... Or rather... It's simply that there are few JR train services, as the saying goes (-_-;) [URL]"""
デザートのレアクリームケーキも頂いちゃいますよ(*´∀｀) [URL],I'll also have some delicious rare cream cake for dessert (*´∀｀) [URL]
mimikarinnの値段は、『10000000000000000000000000000円』です。 [URL]  やった、勝った！w,"The price of mimikarinn is '¥10,000,000,000,000,000,000,000,000'. [URL] Yay, I won! lol"
中野駅についったー！バスで渋谷からきたの初めてかもだ。バス楽しい。 (@ 中野駅 (Nakano Sta.) w/ 9 others) [URL],I arrived at Nakano Station! It's my first time coming from Shibuya by bus. Buses are fun. (@ Nakano Station with 9 others) [URL]
今日は朝から戸田市民体育祭、つまり町内対抗運動会。親子競争で末っ子おんぶして走って、集団縄跳びでは24回飛んで、風船リレーでは2位に入ったのが午前。昼はカレーを食った。午後の部は戸田音頭が今始まったところだ。 [URL],"Today is the Toda City Citizens' Sports Festival, which is essentially a local sports competition. In the parent-child race, I carried my youngest child on my back and ran. In the group jump rope event, we jumped 24 times, and in the balloon relay, we came in second place in the morning. We had curry for lunch. The afternoon session has just begun, featuring the Toda folk dance. [URL]"
心地好い忙しさが舞い込んできてる♪ やっぱ暇よりは忙しいのが好きな貧乏性な私┐(´∀｀)┌ﾔﾚﾔﾚ,"I'm loving the pleasant busyness that's floating in! I guess I'm the type who prefers being busy over being idle, even though I'm a penny-pincher. ﾐ(´∀｀)彡"
[USER] 横浜負けちゃいましたねぇ（泣）まさか逆転されるとわ…残念。でもお疲れ様でした(^-^)/,"[YOUR] Yokohama lost, huh? (Tears) I never expected them to be turned around... What a shame. But great job anyway! (^-^)/"
螺旋階段読む。だんなさんはクルージーの生まれかわりかも。と、展示をみたときもおもった。すごくよかった。,Reading the spiral staircase. I thought that my husband might be the reincarnation of Cruzy when I saw the exhibition. It was really good.
"ありがとうです。街に似合うカスタムは若い人にお任せして…(^◇^;)""[USER] [USER] 街の四駆感がなくなって好きだなぁo(^▽^)o""","Thank you. Leave it to the young people to handle the customizations that suit the town... (^◇^;)"" [USER] [USER] I love how the town's off-road feeling has disappeared o(^▽^)o"""
[USER] 鎌倉最近妹も行き義父母も行き、鎌倉土産いっぱいだったよ(⌒▽⌒)鎌倉よかったー？？  私も行きたいーー！！  けどあまりいく機会がない^_^,"Recently, my younger sister and my parents-in-law went to Kamakura, and they brought back a lot of souvenirs from there (⌒▽⌒) They said Kamakura was great! I also want to go too!! But I don't have many opportunities to go there ^_^"
おはようー！ 昨日湯沢からもどり久しぶり奥戸に戻ったー！ ところで情熱大陸フェス札幌公演行きたいんですが 東京から行く人います？ 交通費等抑えたいですが、東京発の情熱大陸ツアーなど募集してないでしょうか？,"Good morning! I returned to Okudo after a long time, from Yuzawa yesterday! By the way, I want to go to the Jounetsu Tairiku Festival in Sapporo. Is there anyone going from Tokyo? I want to save on transportation expenses, so I'm wondering if there are any recruiting options for the Jounetsu Tairiku Tour from Tokyo."
今、横浜ベイブリッジ渡ってたんだけど、嵐みたいだこれ。 (@ 横浜ベイブリッジ (Yokohama Bay Bridge)) [URL],"I was crossing Yokohama Bay Bridge just now, and it's like a storm. (@ Yokohama Bay Bridge) [URL]"
せっかくなのでビックカメラなう。1DⅢを使い続けるためにはやはりレンズです。,"Since I went through the trouble, I'm at Bic Camera right now. To continue using the 1D Mark III, a lens is definitely necessary."
運転免許センターに来ました。日曜だから、めちゃくちゃ混んでいる!!!!!!ディズニーランド並の行列…( ノД`)…がんばる,"I came to the driver's license center. It's Sunday, so it's incredibly crowded!!!!! The line is as long as Disneyland... (ノД`)... I'll do my best."
厚木からJR相模線で橋本に向かい、京王線で新宿に戻ることにした。ロマンスカーを下ろされた人達が沢山路頭に迷っている。,I decided to take the JR Sagami Line from Atsugi to Hashimoto and then transfer to the Keio Line to return to Shinjuku. Many people who were removed from the Romancecar are now lost and stranded.
[USER] いいコピーだ。「[USER] 今日も同じ空の下にいますよ。」,"""You have a great caption. '[USER], I am under the same sky today too.'"""
[USER] 懐かしいー♪ 盛るねー♡また海いきたいねー(p*･ω･)p,[Assistant] Nostalgic~♪ That sounds great! I want to go to the sea again too~ (p*･ω･)p
[USER] まずポケモンつかまえねば、、。てか、末永も参加させよう。奴も一端の虫取り少年だ,"First, I need to catch some Pokémon... But anyways, I'll make Suenaga participate as well. He's also quite the bug-catching boy."
お揃い！（笑）大丈夫ですかぁ？ “[USER] 額が切れた！血が出てる！痛い！”,"Matching outfits! (laughs) Are you okay? ""[USER] I cut my forehead! It's bleeding! It hurts!"""
美容院終了～！今回は『「榮倉奈々」と「韓流スター」の中間な感ぢで』とお願いしたんだZE(●´ω｀●),"Finished at the beauty salon~! This time, I asked for a style that's a mix of ""Nana Eikura"" and ""Korean Wave star"" vibes, ZE (●´ω｀●)"
出費が加速するかも…。(((；ﾟДﾟ))RT [USER] 銀行通帳にSEV貼ったら残高増えるかな？,"Expenses may increase... (((；ﾟДﾟ)) RT [USER] If I stick an SEV in my bank passbook, will my balance increase?"
とりあえずランチ、 と思ったけど遅刻メンツ待ち⊂((・x・))⊃ [URL],"I initially thought of having lunch, but I'm waiting for the latecomers ⊂((・x・))⊃ [URL]"
何だかなぁ〜。映画館メチャ並んでるし。知り合い居たら笑えるな。,I don't know... The movie theater is really crowded. It would be funny if I saw someone I know here.
[USER] でも『ダルさんヨガる』っていったらリプされずにすみますよ笑,"[USER] But if I say ""Darusan yoga,"" I'll be able to avoid getting a reply, haha"
仕事終了(^_^)今日は予定無しだから、スケジュール考えなくちゃ！,"Work finished (^_^) Since I have no plans today, I need to think about my schedule!"
miwaファンの方フォローし返すのでフォローお願いします＼(^o^)／,"""Please follow me back as I will follow back miwa fans. Thank you! ＼(^o^)／"""
冷蔵庫があいたまましまらん夢みた  朝食なうです＼(^o^)／,I had a dream that the refrigerator was left open and couldn't be closed. It's breakfast time now ＼(^o^)／
[USER] 何なんですか明日もき○村病で眠いんだから早く寝なさい,"[USER] What is it? I'm sleepy because of my [Kirikomori] illness tomorrow, so go to bed early."
USJなう。絶叫からっきしな自分は、ジュラシックパークで初っぱなからノックアウト…orz  #USJ,"At USJ right now. Despite being absolutely terrified of roller coasters, I was knocked out right from the start at Jurassic Park... orz #USJ"
これおすすめです。早く効く。このまえコストコでまとめ買いした(笑) [URL],This is recommended. It works quickly. I bulk bought it at Costco the other day (lol) [URL]
たまってた、マンガ買う！ (@ 有隣堂 アトレ新浦安店) [URL],"I've been saving up, time to buy some manga! (@ Yurindo Atre Shinurayasu Store) [URL]"
相変わらず料理のセンスがない母… 出された雑煮の汁がお湯みたい(--;) 文句をいったらむっとされた!! コイツが姑じゃなくてよかったわ!!,"My mother still lacks cooking skills... The broth of the zoni she served was like hot water (--;) When I complained, she got annoyed! Thank goodness she's not my mother-in-law!!"
旭川空港着いたけど外は小雨。本当は美瑛に直行するつもりだったけどどうせ自転車にも乗れそうないし、いっそ旭川市街でも行こうかしら。,"I arrived at Asahikawa Airport, but it's drizzling outside. I originally planned to go straight to Biei, but since it doesn't seem suitable for cycling anyway, maybe I should just go to Asahikawa City instead."
[USER] おはよー(^^)/今日はおもに寺巡って祇園だねー(^^)v,"[USER] Good morning! Today, I'm mainly going to visit temples and explore Gion."
トロサーモン炙り丼を食した (@ 若狭屋 秋葉原店) [pic]: [URL],I ate a Toro Salmon seared rice bowl at Wakasa-ya Akihabara store. [pic]: [URL]
[USER] 私もです～(^O^)!!無事に家へと帰れるように頑張りましょうｗ,"[Assistant] Me too~ (^O^)!! Let's do our best to safely return home, haha."
藤丸にいるよ！  なんか3時から売る物に並んでる(⌒▽⌒)  とっても長い列だよ～ん [URL],I'm at Fujimaru! There's a long line of people waiting for something to be sold starting at 3 o'clock (⌒▽⌒) It's a really long queue ~n [URL]
やっとお昼ご飯！回転寿司島武さんです。いわしめちゃくちゃ旨いよ！買って帰るよ。 [URL],Finally lunchtime! It's Kaiten Sushi Island Takeshi-san. The sardines are incredibly delicious! I'm going to buy some and take them home. [URL]
ちなみに俺が買ったのは、無法地帯オオサカが舞台のアジアンパンクwww15禁だよwww,"By the way, what I bought is an Asian punk comic set in lawless territory in Osaka, 15+ rated."
[USER] [USER] 出過ぎあぶなーい！(^^)吹いて良かったですね！,I went out and it was too dangerous! (^^) I'm glad you had a good laugh!
完全に寝るタイミングを逃してしまった！7時起きなのに…なでしこ頑張って‼,"I completely missed the timing to sleep! Even though I need to wake up at 7 o'clock... Hang in there, Nadeshiko!"
[USER] すてきやぁん♡♡参考にさせてもらぉ！おかんはピンとこんくて(^^;;,"[USER] Wow, it's so nice♡♡ I'd like to use it as a reference! My mom doesn't really understand it though (^^;;"
[USER] [USER] 実は幼稚園行ってない！だから幼稚園の資格は無いんだよ(ノД`) まぁそんな実習生ならそんなに高いレベル求められるかなぁ？何をやるかは子どもの様子や先生が今何を子どもに身につけて欲しいのかでやること変わると思うなぁ 担任とそゆとこは相談だ！,"I actually didn't go to kindergarten! So I don't have a qualification for kindergarten, unfortunately (ノД`)

Well, if you're just an intern, I don't think they'll expect such a high level from you. What you do will vary depending on the children's behavior and what the teachers want them to learn. You should consult with the homeroom teacher and others in that regard!"
[USER] そうでっか？僕もよくきますよ あとは、モッズかな！,"[AI] Is that so? I often go there too. And also, maybe Modz!"
[USER] そういえばKeyのクジ始まったのいいことに店の在庫全部買い占めてきたw,"[Assistant] By the way, speaking of it, I bought up all the stock at the store as a good thing since Key's lottery started."
夕方のスーパーってほんとうんざり(涙)荷物もないのに順番待ちする人もとかおるーー(;_;) [URL],I'm so fed up with the evening supermarket (tears) There are even people waiting in line without any items to buyーー(;_;) [URL]
道を聞かれるシリーズ「ここひとつき通りですかね？」赤坂はわかりません,"""Do you know where this street is? Red Hill, I don't know."""
[USER] おー分かってくれたんだーうんうん、応援するエリックです。(^-^)/,"[ASSISTANT] Oh, I understand now. Yes, I am Eric, and I will support you. (^-^)/"
鏡越しに必死なコパンダさん(^人^)いったい誰なんだろう？ちてられてワケわからずテンション上がるわぁ(^^) [URL],"Who is the desperate copanda-san (^人^) looking at me through the mirror? I can't figure it out, but it's getting me excited (^^) [URL]"
奥州市役所で義援金ニ次配分申請完了。一部損壊で二万円貰えることになりましたヽ(；▽；)ノありがたいことです。,"I have completed the application for the second round distribution of relief funds at the Oshu City Office. It has been determined that I will receive 20,000 yen due to partial damages. I am grateful for this (ヽ(；▽；)ノ)."
昨日、今日と丸の内で研修。こんなキレイなオフィスで働きたいものすなぁ。,"Yesterday and today, I had training in Marunouchi. I would love to work in such a beautiful office."
[USER] 仕事ある日もありますなぁ〜。まぁ休みなんてもんは、ないですよぉ〜。毎日脳は仕事でフル回転さっ。今年はやると決めたからね〜(^-^),"[USER] Some days there's work, huh~. Well, there's no such thing as a day off~. Every day my brain is working at full speed. Because I've decided to make it happen this year~ (^-^)"
AKASHでキーマカレー&ナンお代り自由&アイスチャイなう。 体調良くないので、スパイスたっぷりの10倍カレーでショック療法。 汗、吹き出る吹き出る。,"I'm having Keema Curry & Naan with free refills, and an Ice Chai at AKASH right now. Since I'm not feeling well, I'm going for a shock therapy with a 10x spicy curry loaded with spices. I'm sweating profusely, it's really intense!"
なかなか140字で言いたいことを表現することは難しい。笑わせるとなるともっと難しい。しかし練習することでうまくなりそう。 俳句をよんでみても面白そう。,"It is quite difficult to express what I want to say in 140 characters. It's even harder to make people laugh. However, it seems like I can improve with practice. It also seems interesting to try reading haiku."
ついにauからもiPhone販売開始。料金体系どうなるんだろう？,"Finally, iPhone sales have started from au as well. I wonder how it will affect the pricing system?"
洋服までかりてしまいありがとうございました!ぺーさんちの居心地のよさやばい♥さてこれからしょーちゃんと洋服選びしてくるぜ＼(^o^)／,"Thank you so much for letting me borrow your Western-style clothing! The comfort of Pea-san's place is amazing♥ Well then, I'm going to go and choose clothes with Sho-chan now!＼(^o^)／"
生形くんが俺の履いてる靴が五百円で欲しいと言ったから、替りの色違いの靴をこれから買いにいく。まだあればいいけど。エンジ色と水色の。  貝くんは走ってますか？？？ 十一月にハーフマラソンやで,"Since Shoukei-kun said he wants the shoes I'm wearing for 500 yen, I'm going to buy a different colored pair instead. If they're still available, that is. In burgundy and light blue. Is Kai-kun running? Running a half-marathon in November, right?"
今、名古屋会議後の飲み終って帰宅。最近の名古屋会議日は部下からのトラブル報告や悩ましい相談のオンパレードで。去年は震災だったし、もう行きたくないぞ！明日も出勤風呂入らず寝る,"Now I'm done drinking after the Nagoya conference and heading home. Recently, the days following the Nagoya conference have been filled with trouble reports from subordinates and difficult consultations. Last year was the earthquake, so I don't want to go anymore! Tomorrow, I'll skip taking a bath and go to sleep without preparing for work."
Deltaのskyroungeでマッタリ プリプリのボーカル夫妻と隣席できまずいのでソファをさりげなく移動 オイラに気をつかわすなよ あと一時間後に成田を立ちます 日系のシートの悪さに別れを デルタの先頭席から 行って来ます,I casually moved sofas to avoid sitting next to the relaxed and enthusiastic vocal couple in Delta's Sky Lounge. Don't worry about me. I will be leaving for Narita in one hour. I bid farewell to the discomfort of the Japanese seats. I'll be off from the front seats of Delta.
長距離バスを待ちぼうけ＠横浜。大人なんだから１万数千円くらいけちけちせずに新横浜へ移動して新幹線に乗ってしまおうか。,"Waiting in vain for a long-distance bus in Yokohama. Since I'm an adult, maybe I shouldn't be stingy and just move to Shin-Yokohama and take the Shinkansen by spending around 10,000 yen or so."
皇居。ここにやんごとなき御方が…。ちょっと挨拶してきます。 [URL],Imperial Palace. An important figure is here... I'm going to say hello real quick. [URL]
小山駅で４６分待ちとか嫌になる。あと一本でも早い電車に乗れば良かったと後悔…　…間に合わないと思って改札の外にいたら１０分くらい遅れて発車していったんだよね。乗れたじゃんｗ　＠小山市城山町,"I get frustrated waiting for 46 minutes at Koyama Station. I regret not taking an earlier train, even just one more. I thought I wouldn't make it, so I stayed outside the ticket gate, but the train ended up departing about 10 minutes late. I could've caught it, haha. @ Joyamachi, Koyama City."
最高気温35度。琵琶湖まで一人ランニング。やばかったですf^_^;),"Maximum temperature is 35 degrees. I went running alone to Lake Biwa. It was tough, haha."
京王線、、なつかしい！若い子がたくさん乗ってる★むかしを思い出す(^-^),Keio Line... How nostalgic! There are so many young people riding★ It reminds me of the past (^-^)
ツイッターはじめました！プロフ設定の仕方が分からない～( ；´Д｀),I've started Twitter! I don't know how to set up my profile ～( ；´Д｀)
[USER] [USER] 俺はかけないし、モデルにイラストかけるの近くにいないもんでケモ書く人バンバンフォローしちまうんす（笑）,"[USER] [USER] I don't make phone calls, and I'm not close to someone who can draw illustrations, so I follow people who doodle furiously (laughs)."
何年ぶりに入るかしら。 久々知人皆無！あたしもワンマン！わくわく。,"I wonder how many years it has been since I entered. Long time no see, no acquaintances at all! I, too, am a loner! Exciting!"
良い天気！絶好のツーリング日和ですね～♪ 富士山一周してみたい！今日は行けませんでしたがもう少し涼しくなったら行こうかな～(^^; でもその前にチェーンの錆びとりしなければ…(￣▽￣;) メンドクサ～なんだけど、取り敢えずバイク屋かなぁ～ [URL],"Good weather! It's a perfect day for touring, isn't it? I would love to go around Mount Fuji! I couldn't go today, but maybe I'll go when it gets a little cooler~ (^^; But before that, I need to remove the rust from the chain... (￣▽￣;) It's a bit of a hassle, but for now, I guess I'll go to a motorcycle shop. [URL]"
[USER] I read romantic...what!?,[USER] I read romantic...what!?
[USER] うっ…  もしや俺、レアキャラ    w  たまに皆さんの覗いてたんですが釣られました^^;  野菜が値上がりしてるんで、我が家 今夜は 宮城県産のサンマですd(^_^o),"Ah...Could it be that I, as a rare character, got caught up in everyone's attention occasionally? ^^; Since the price of vegetables has gone up, tonight my home will be having Sanma from Miyagi Prefecture d(^_^o)"
ジムへ行って、久々に測定したら体脂肪率5％だいになっていた。ん～ラーメン食べよ！,"I went to the gym and when I measured it after a long time, my body fat percentage had increased to 5%. Hmm... Let's go eat ramen!"
14年ぶりの那覇o(^▽^)o 乗継便の遅れで待ちぼうけ……… [URL],14 years since I've been to Naha o(^▽^)o I waited in vain due to a delayed connecting flight....... [URL]
