sentences,translated
[USER] どこも行ってない！お店に10時半くらいまでいてそのあと外で１時間喋ってた！あのあとどっか行ったー？,"[USER] I haven't gone anywhere! I stayed at the store until around 10:30, and then talked outside for an hour! After that, did we go somewhere?"
捕まってよかった!!  脱走の男確保 逃走容疑で逮捕  #yjfc_hiroshima_prison,Glad we caught him!! Escapee apprehended and arrested on suspicion of fleeing. #yjfc_hiroshima_prison
[USER] お肌つやつや…感動した！肌弱いから心配してたんだけどすごくいいコンディショナーとか使ったから平気だったし！,"[USER] Your skin is glowing...I'm impressed! I was worried because I have sensitive skin, but since I used a really good conditioner, I was fine!"
[USER] 厚揚げ焼き、ｷｬﾍﾞﾂｻﾗﾀﾞ、ﾁｮﾘｿｰ、ﾋﾟｰﾏﾝと玉ねぎをﾁﾝして塩ｺｼｮｳしたやつ、ｺﾛｯｹ…みたいな感じｰ(o´▽｀o),"[Assistant] It seems like thick grilled tofu, cabbage salad, chorizo, steamed potatoes and onions seasoned with salt, and corokke... something like that! (o´▽｀o)"
大好きだったラーメン屋さん。いっぽ亭。懐かしの『あごだしらーめん』を食事中。 宮城県仙台市青葉区柏木２丁目,"The ramen restaurant that I loved so much. Ippotei. I'm currently enjoying their nostalgic ""Agodashi Ramen"". 2 Chome Kashiwa, Aoba-ku, Sendai City, Miyagi Prefecture."
神様からdadagouに突然メールが来た。　本文：「今からちょっと天界デートしない？」 [URL]   聖おにいさんですか(￣∇￣*)ゞ,"Dadagou received a sudden email from God. The message said, ""Do you want to go on a little date in heaven?"" [URL] Is it you, Saint Big Brother? (￣∇￣*)ゞ"
ランチ復活します！．．． 月、火、水、だけですが．．(￣Д￣； [Lunch Time] 11:30~14:00? ☆やみつきインドカレーランチ☆? (インドカレー＋サラダ) \650? ★[ ￥200]でコーヒーをセットにできます！?その他オプションもあります！,"Lunch is back!... Only on Monday, Tuesday, and Wednesday though. (￣Д￣； [Lunch Time] 11:30~14:00 ☆Addictive Indian Curry Lunch☆ (Indian curry + salad) \650 ★You can add a coffee for [￥200] as a set! Other options are available too!"
無印良品でＫ部長と遭遇！焦った(ﾟДﾟ;)孫をベビーカーに乗せてニコニコでした(´ｰ｀),Encountered K Director at MUJI! Panicked (ﾟДﾟ;) Put my grandchild in the stroller and smiled (´ｰ｀)
[USER] お疲れぽよ?ねえねえもしビニールに入って濡れてるラビT とパンツがあったらそれ俺のだから取っておいて♪,"[USER] Oh, you must be tired~ Hey, hey, if you come across a wet Rabbit T-shirt and underwear wrapped in plastic, keep it aside because that's mine, okay?"
仕事終了。列車待ち二時間。 観光するには時間が足りないし、 さて、何しようかと長崎駅でボーッと佇む。,"Work finished. Two hours of waiting for the train. I don't have enough time for sightseeing, so now, I stand idly at Nagasaki Station wondering what to do."
[USER] メッシュ＼(^o^)／私もそろそろ根元から明るくしたい！でも金がない！（笑）,[USER] Mesh ＼(^o^)／ I also want to lighten my hair from the roots soon! But I don't have any money! (laughs)
帰宅なう。会社出るときフル充電だったのに飲み会終わる頃に電池切れなんてヒドすぎる…,"I'm heading home now. I left the office with a full charge, but it's really frustrating that my battery died around the end of the drinking party..."
ALINCO フット・バブ ライト MCR4000... [URL],ALINCO Foot Bath Light MCR4000... [URL]
[USER] 寝る前にもっかい。現在参加してくださるゲストを募集中です。ふるって(主にペンタブや鉛筆を)ご参加頂ければ!!｜【参加者様・参加希望の方向け】かぶりものっ娘本まとめページ [URL],"[Assistant] Before going to bed, once again. We are currently recruiting guests to participate. We eagerly welcome anyone who would like to participate (primarily with a tablet or pencil)!! ｜ [For participants and those who wish to participate] Compilation page of cosplay girl books [URL]"
ぬるぃ。(´Д` ) (@ JR 横須賀線 武蔵小杉駅 w/ 4 others) [URL],Lukewarm. (´Д` ) (@ JR Yokosuka Line Musashi Kosugi Station w/ 4 others) [URL]
サイエンスカフェ「音を創る」はじまりました！ #ypcafe  [URL] [URL],"Science Cafe ""Creating Sound"" has begun! #ypcafe [URL] [URL]"
唇カッサカサ！切れまくりの皮むけまくり！痛いけど、ついいじって悪化し続けてる！,"Chapped lips! Constantly peeling and cracking! It's painful, but I can't help but keep picking at it and making it worse!"
娘がいないことを良いことに、夫婦でドライブ。山梨まで来てしまった。 【山梨県北杜市】 [URL],"Taking advantage of our daughter's absence, my spouse and I went on a drive. We ended up coming all the way to Yamanashi. [Hokuto City, Yamanashi Prefecture] [URL]"
なう  @ 国立新美術館 (THE NATIONAL ART CENTER,Now @ The National Art Center
もし本当にその犯罪自慢を裁きたいなら、明確な証拠を突き止めて公表しないと、その人物のたかが知れるぜ。 ちなみに俺は今家のPCでツイートしている。IPアドレスとかGPSで探索できるのかは知らないが、そこまでしてこそ犯罪者ってものは取り締まるべきじゃないか？,"If you really want to judge that person boasting about the crime, you need to find clear evidence and make it public, otherwise their true nature will remain uncertain. By the way, I'm currently tweeting from my home PC. I don't know if it's possible to track someone through their IP address or GPS, but should criminals who go to such lengths not be apprehended?"
[USER] 間違えたぁ(−_−＃)  ゴメン ゴメン(｡-_-｡),"[Assistant] I made a mistake, I'm sorry, I'm sorry. (｡-_-｡)"
マジないわ〜チャリでこけてしもうたわ、シラフで。ありえんけーこの始末。右乳首の下をウリィ?って感じですりむいたけ。,"I seriously can't believe it. I fell off my bicycle sober. It's unbelievable, man. I scraped the area right below my right nipple, and it stings like crazy."
違うで笑Twitter最近始めたから友達なって(⌒▽⌒)ちゅうけんのとも,"Translation: ""Because I recently started using Twitter, I made friends on there (⌒▽⌒) That's one of the advantages."""
水族館にマンボウいるのに違和感。佐伯市民はマンボウ＝プールだもんな！,"It feels strange to have a manta ray in an aquarium. For the residents of Saiki City, manta rays are associated with the ocean!"
明日は午前午後とフットサル(o^^o) 足の爪ヤバイー＼(^o^)／,"Tomorrow, I have futsal in the morning and afternoon. My toenails are in trouble! ＼(^o^)／"
Recentry I'm many many many eating. (−_−)やバス…,"Recently, I have been eating a lot, like so much. (−_−) A lot of food..."
[USER] COSMOのお兄さんみたいやった俺？？漬け物頑張ります！ちなみに今日お渡ししたのは48時間漬け込みしてあります！,"[USER] Did I look like COSMO's big brother? I'll do my best with pickling! By the way, what I handed over today has been pickled for 48 hours!"
旭川マルカツのタリーズなう。アイスアメリカーノを注文。ほのかに感じる甘みと苦味。みずみずしくて美味しい。 [URL],At Asahikawa Marukatsu's Tully's Coffee right now. I ordered an iced Americano. It has a subtle sweetness and bitterness. It's refreshing and delicious. [URL]
経産相辞任。仕方ないけど、置かれた立場を勘違いするような人材を選ぶな。政治家は政治家なりのコンプライアンスを認識してほしい。,"Resignation of the Minister of Economy, Trade and Industry. It can't be helped, but they shouldn't choose personnel who misunderstand their position. I want politicians to recognize their own compliance as politicians."
そろそろ寝ぐらを見つけたい…正直箱根のダメージが深刻なんでホテルでもあればいいんだが…,"I want to find a place to stay soon... To be honest, the damage from Hakone is quite severe, so it would be great to have a hotel or something..."
太陽が顔を出していても、空気が冷たく感じられるようになってきました。今日、12/7のBeauraの夜のペルヴィストレッチ(骨盤調整)、クリパルヨガのクラスはまだ若干の余裕がございます。ご予約お待ちしてます！,"Even though the sun is showing its face, the air has started to feel cold. There is still some availability for tonight's pelvic adjustment class and kripalu yoga class at Beaura on 12/7. We look forward to your reservation!"
[USER] 四年前は、登りはすべてあるいていたそうです…それに比べましたら、成長したそうです。,"[ASSISTANT] Four years ago, it seems like you were walking up all the climbs... Compared to that, it seems like you have grown."
生きてます。まる二本買ったんですけど、優香さんの家にたどり着きませんでした。昨日はご迷惑をおかけしました。“[USER] 【急募】古庄の安否【納会お疲れ様でした】”,"I'm alive. I bought two whole ones, but I couldn't find Yuuka's house. I apologize for the trouble yesterday. ""[USER] Urgent: Confirmation of Furusho's safety [Thank you for the year-end party]"""
メールウザ(ｰｰ;)     さっきドラクエ買ってきたら子供に取られた(T . T)私用に買ったのに(ｰｰ;),Email Sufferer (ｰｰ;) I just bought Dragon Quest earlier and my child took it (T . T) I bought it for personal use (ｰｰ;)
七尾市は寒いな?(;´д｀)取り敢えず今日は仕事がおわったら金沢市まで移動。,"Nanao city is so cold~ (;´д｀) Anyway, after work today, I will travel to Kanazawa city."
白子海岸に出たら、向かい風だった-_-b銚子まで50キロ向かい風か〜 セブンでつぶあんパンなう,"When I arrived at Shirako Beach, there was a headwind -_-b It's a headwind all the way to Choshi, about 50 kilometers away. Currently enjoying an azuki bean bun from Seven-Eleven."
誰かの相談にのる=自分自身にエールを送ってるってことがよくあるよね。ありがとう！#fb,Taking someone's advice is often like giving yourself a cheer. Thank you! #fb
docomoのSIM使えて、UQの(MVNOの)WiMAX契約できるスマホがあれば売れるよねえ。少なくとも俺は買うなあ。,"If there were smartphones that could use docomo SIM cards and be compatible with UQ's (MVNO's) WiMAX contract, they would definitely sell well, wouldn't they? At least I would buy one."
インコ聖人ヘッド飾りました！！ #魅惑のコトリ展  [URL],I decorated the parrot saint headpiece!! #EnchantingKotoriExhibition [URL]
当店では、毎月29日にお肉の日と称してイベントを開催致しております。詳しい内容などは店舗にて、説明させていただております。是非ともこの機会に樹一ゆめシティ店までお越しくださいませ。,"At our store, we hold an event called ""Meat Day"" on the 29th of every month. We will explain the details and more at the store. Please take this opportunity to visit our Juichi Yume City store."
この時間でも開いてた(*^_^*)明日のパンゲット?  @ PANE PORCINI [URL],Open even at this time (*^_^*) Tomorrow's pan get ? @ PANE PORCINI [URL]
[USER] 逆チョコじゃない＼(^o^)／もらえんかったら寂しいから＼(^o^)／笑,"[USER] It's not reverse chocolate, can you give me some ＼(^o^)／ If I don't receive any, I'll be sad ＼(^o^)／lol"
[USER] それはそうとうだぞ笑 かなり豪華やな? あたしも三月一人旅いかねば！ かえってきたらご飯しよ,"[USER] That's quite something, haha. It's really luxurious, huh~ I also need to go on a solo trip in March! Let's grab a meal when I come back."
テント張り終わったなう！今朝５時から起きてるから                       眠い(-.-)Zzz・・・・,"I just finished setting up the tent now! I've been awake since 5 AM this morning, so I'm sleepy (-.-) Zzz..."
本ツアー一番の綱渡り……改めて被災地を実感……というか…単にJRの運行が少ないだけという話も(-_-;) [URL],"Translation: 

""The most challenging part of this tour... Once again, I truly felt the impact of the disaster-stricken area... Or rather... It's simply that there are few JR train services, as the saying goes (-_-;) [URL]"""
デザートのレアクリームケーキも頂いちゃいますよ(*´∀｀) [URL],I'll also have some delicious rare cream cake for dessert (*´∀｀) [URL]
[USER] げろかわなんだよなちゃん\(//∇//)\にやにや,"[Assistant] ""Gero-kawa"" is a cute term for something that is gross but also adorable. It's like a mix of feeling disgusted and finding something endearing. It can be expressed as ""gleefully gross"" or ""grossly cute."""
mimikarinnの値段は、『10000000000000000000000000000円』です。 [URL]  やった、勝った！w,"The price of mimikarinn is '\10,000,000,000,000,000,000,000,000'. [URL] Yay, I won! lol"
パラボラアンテナ！ | [ジオラマ] [URL] #penpic,Parabolic antenna! | [Diorama] [URL] #penpic
アイエムハウス ,AIM House
中野駅についったー！バスで渋谷からきたの初めてかもだ。バス楽しい。 (@ 中野駅 (Nakano Sta.) w/ 9 others) [URL],I arrived at Nakano Station! It's my first time coming from Shibuya by bus. Buses are fun. (@ Nakano Station with 9 others) [URL]
台風による強風の為停止中（;￣O￣） (@ 茨木駅) [URL],Stopped due to strong winds caused by a typhoon (;￣O￣） (@ Ibaraki Station) [URL]
[USER] 富山県の二上山キャンプ場が結構良いところ♪ゴミは持ち帰りだけど、トイレとかすごく綺麗なのに無料!!,"[ASSISTANT] The Futagamiyama Campsite in Toyama Prefecture is a really nice place! You have to take your garbage with you, but the toilets are incredibly clean and they're free!"
[USER] ありがとうございます(●´ω｀●)届きましたよ♪,[ASSISTANT] Thank you very much (●´ω｀●) It has arrived ♪
今日は朝から戸田市民体育祭、つまり町内対抗運動会。親子競争で末っ子おんぶして走って、集団縄跳びでは24回飛んで、風船リレーでは2位に入ったのが午前。昼はカレーを食った。午後の部は戸田音頭が今始まったところだ。 [URL],"Today is the Toda City Citizens' Sports Festival, which is essentially a local sports competition. In the parent-child race, I carried my youngest child on my back and ran. In the group jump rope event, we jumped 24 times, and in the balloon relay, we came in second place in the morning. We had curry for lunch. The afternoon session has just begun, featuring the Toda folk dance. [URL]"
出発  @ 羽田空港 第1ターミナル (HND/RJTT) [URL],Departure @ Haneda Airport Terminal 1 (HND/RJTT) [URL]
心地好い忙しさが舞い込んできてる♪ やっぱ暇よりは忙しいのが好きな貧乏性な私┐(´∀｀)┌ﾔﾚﾔﾚ,"I'm loving the pleasant busyness that's floating in! I guess I'm the type who prefers being busy over being idle, even though I'm a penny-pincher. ﾐ(´∀｀)彡"
来週の竹村プロとのラウンドに備え、 練習中σ(^_^;) しかし、朝から暑いなぁ（;￣O￣）,"Preparing for next week's round with Pro Takemura, practicing σ(^_^;) But it's so hot since morning ( ;￣O￣)"
やっぱり関西はいいなあ。寿司は安くてうまいし、どこでも金券屋あるし、新快速は速いし。,"Kansai is really great after all. The sushi is cheap and delicious, and there are gift certificate shops everywhere. The New Rapid service is fast too."
[USER] 横浜負けちゃいましたねぇ（泣）まさか逆転されるとわ…残念。でもお疲れ様でした(^-^)/,"[YOUR] Yokohama lost, huh? (Tears) I never expected them to be turned around... What a shame. But great job anyway! (^-^)/"
螺旋階段読む。だんなさんはクルージーの生まれかわりかも。と、展示をみたときもおもった。すごくよかった。,Reading the spiral staircase. I thought that my husband might be the reincarnation of Cruzy when I saw the exhibition. It was really good.
"ありがとうです。街に似合うカスタムは若い人にお任せして…(^◇^;)""[USER] [USER] 街の四駆感がなくなって好きだなぁo(^▽^)o""","Thank you. Leave it to the young people to handle the customizations that suit the town... (^◇^;)"" [USER] [USER] I love how the town's off-road feeling has disappeared o(^▽^)o"""
[USER] 鎌倉最近妹も行き義父母も行き、鎌倉土産いっぱいだったよ(⌒▽⌒)鎌倉よかったー？？  私も行きたいーー！！  けどあまりいく機会がない^_^,"Recently, my younger sister and my parents-in-law went to Kamakura, and they brought back a lot of souvenirs from there (⌒▽⌒) They said Kamakura was great! I also want to go too!! But I don't have many opportunities to go there ^_^"
釣り場に到着した＼(^o^)／   サア  始めるかナ? [URL],"＼(^o^)／ We've arrived at the fishing spot! Alright, let's start~ [URL]"
お店はご存知ですかぁ！？[USER] 地元でっす！(∀`●)RT [USER] かるたなう。,"Do you know the shop?! [USER], it's in my hometown! (∀`●) RT [USER] Playing Karuta now."
ランジェリーフットボールってゆう、下着でやるアメフトがテレビで放送されてる。メットだから、かわいいかすらわからない,"Translation: 

There's a TV broadcast of a sport called ""Lingerie Football"" where American football is played wearing underwear. Because they wear helmets, it's hard to tell if it's cute or not."
おはようー！ 昨日湯沢からもどり久しぶり奥戸に戻ったー！ ところで情熱大陸フェス札幌公演行きたいんですが 東京から行く人います？ 交通費等抑えたいですが、東京発の情熱大陸ツアーなど募集してないでしょうか？,"Good morning! I returned to Okudo after a long time, from Yuzawa yesterday! By the way, I want to go to the Jounetsu Tairiku Festival in Sapporo. Is there anyone going from Tokyo? I want to save on transportation expenses, so I'm wondering if there are any recruiting options for the Jounetsu Tairiku Tour from Tokyo."
こんな天気でも、富士山ばっちり（^人^） 北鎌倉駅近くの絶景ポイントです。 [URL],"Despite this kind of weather, Mt. Fuji looks perfect (^人^). It is a scenic spot near Kitakamakura Station. [URL]"
ログハウスの窓にさんがついたのである。ぐっと家らしくなったかな [URL],"There is frost on the windows of the log house. It feels more like a home now, doesn't it? [URL]"
今、横浜ベイブリッジ渡ってたんだけど、嵐みたいだこれ。 (@ 横浜ベイブリッジ (Yokohama Bay Bridge)) [URL],"I was crossing Yokohama Bay Bridge just now, and it's like a storm. (@ Yokohama Bay Bridge) [URL]"
せっかくなのでビックカメラなう。1D?を使い続けるためにはやはりレンズです。,"Since I went through the trouble, I'm at Bic Camera right now. To continue using the 1D Mark III, a lens is definitely necessary."
[USER] やばいよ。今日は頭が疲れた。ていうか、おかえり！！,"[ASSISTANT] Oh no, today my head feels tired. Or rather, welcome back!!"
運転免許センターに来ました。日曜だから、めちゃくちゃ混んでいる!!!!!!ディズニーランド並の行列…( ノД`)…がんばる,"I came to the driver's license center. It's Sunday, so it's incredibly crowded!!!!! The line is as long as Disneyland... (ノД`)... I'll do my best."
厚木からJR相模線で橋本に向かい、京王線で新宿に戻ることにした。ロマンスカーを下ろされた人達が沢山路頭に迷っている。,I decided to take the JR Sagami Line from Atsugi to Hashimoto and then transfer to the Keio Line to return to Shinjuku. Many people who were removed from the Romancecar are now lost and stranded.
[USER] いいコピーだ。「[USER] 今日も同じ空の下にいますよ。」,"""You have a great caption. '[USER], I am under the same sky today too.'"""
天候も回復し、絶好のビーチバレー日和となりました。選手の皆さんも頑張ってプレーしています。 [URL],The weather has improved and it has become a perfect day for beach volleyball. The players are also working hard and playing their best. [URL]
[USER] 懐かしいー♪ 盛るねー?また海いきたいねー(p*･ω･)p,[Assistant] Nostalgic~♪ That sounds great! I want to go to the sea again too~ (p*･ω･)p
[USER] まずポケモンつかまえねば、、。てか、末永も参加させよう。奴も一端の虫取り少年だ,"[TRANSLATION] First, I need to catch some Pok?mon... But anyways, I'll make Suenaga participate as well. He's also quite the bug-catching boy."
お揃い！（笑）大丈夫ですかぁ？ “[USER] 額が切れた！血が出てる！痛い！”,"Matching outfits! (laughs) Are you okay? ""[USER] I cut my forehead! It's bleeding! It hurts!"""
美容院終了?！今回は『「榮倉奈々」と「韓流スター」の中間な感ぢで』とお願いしたんだZE(●´ω｀●),"Finished at the beauty salon~! This time, I asked for a style that's a mix of ""Nana Eikura"" and ""Korean Wave star"" vibes, ZE (●´ω｀●)"
今日はすいとん♪ (@ 甲州ほうとう 小作 石和駅前通り店) [pic]: [URL],Today is suito? (@ Koshu Houtou Kosaku Isawa Ekimae Street Store) [pic]: [URL]
出費が加速するかも…。(((；ﾟДﾟ))RT [USER] 銀行通帳にSEV貼ったら残高増えるかな？,"Expenses may increase... (((；ﾟДﾟ)) RT [USER] If I stick an SEV in my bank passbook, will my balance increase?"
今日は、いとこの結婚式です(^-^)イイな?イイな?♪ [URL],Today is my cousin's wedding (^-^) How nice~ How nice~ ♪ [URL]
[USER] え、それそうとうキツイm(_ _)m落とすと割れるもん？,"[ASSISTANT] Eh, is it really fragile enough that it would break if dropped? m(_ _)m"
とりあえずランチ、 と思ったけど遅刻メンツ待ち⊂((・x・))⊃ [URL],"I initially thought of having lunch, but I'm waiting for the latecomers ⊂((・x・))⊃ [URL]"
ランチ待ち?( ´ ▽ ` )ﾉ ＠北菓楼 砂川本店 [URL],Waiting for lunch~( ´ ▽ ` )ﾉ @Kitakaro Sunagawa Main Store [URL]
